"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"D2096.1",5300.47062668416,5.87076237983124,0.187293843294789,31.3451968124281,1.13116240363965e-215,2.04186125480994e-211
"C14C11.6",1068.4360677864,-4.53449917598589,0.183094570574085,-24.7658855299104,2.09083234570726e-135,1.88708073361809e-131
"F28F8.7",1860.0207481343,3.93457340746054,0.166733145862682,23.5980277772782,4.03806932308983e-123,2.42970631170315e-119
"F37H8.2",770.439117826252,3.14487558032995,0.136020605791013,23.1205820768204,2.87486751542877e-118,1.29735583802512e-114
"C38D9.2",3324.75208289212,8.13047198873928,0.405200823695531,20.0652898841305,1.48422520063998e-89,5.35834981935047e-86
"F07B7.1",561.174490403921,5.99201943875392,0.307256917438586,19.5016583799178,1.06279776400644e-84,2.7406517768686e-81
"W09B7.1",561.174490403921,5.99201943875392,0.307256917438586,19.5016583799178,1.06279776400644e-84,2.7406517768686e-81
"F07B7.2",1482.38411830137,5.26172747294425,0.282399529106451,18.6322105054248,1.76098753388508e-77,3.53195399712884e-74
"W09B7.2",1482.38411830137,5.26172747294425,0.282399529106451,18.6322105054248,1.76098753388508e-77,3.53195399712884e-74
"C52E2.6",572.347375142517,4.09121774871258,0.222908894681173,18.3537662530885,3.08003547886159e-75,5.55977204289306e-72
"Y23H5A.8",668.982589632692,6.30650205254028,0.346740845312875,18.1879410452776,6.43110612882153e-74,1.05534451573961e-70
"ZK856.7",631.116537345029,-4.62450378807224,0.256633487961687,-18.0198766139306,1.36046573079039e-72,2.04648057554144e-69
"F29C12.5",1144.59394633657,4.36458119937483,0.247540839982046,17.6317620950603,1.40518591315891e-69,1.95115468603319e-66
"F55A3.7",810.423356896946,3.05289032015461,0.180609769886854,16.9032401849975,4.25849182033604e-64,5.49071684634899e-61
"ZC15.3",560.341353046762,6.98883848690701,0.430396258550326,16.238148794432,2.70978813244096e-59,3.26095903857945e-56
"C41D11.6",512.594965201676,6.54565896166436,0.408510122632964,16.0232478927957,8.79346785632908e-58,9.92068051716227e-55
"R05A10.1",98.0419623403359,-6.12086831634757,0.423152072080178,-14.464937596212,2.01787915559715e-47,2.14263156692259e-44
"C32B5.6",285.540985206958,4.10973153612116,0.291728604957109,14.0875165009115,4.5322173667068e-45,4.5450586492458e-42
"C08F11.7",226.950611583301,4.27508713194305,0.30610322023987,13.9661618998748,2.50781924301377e-44,2.38256027134956e-41
"W08F4.9",243.194166058152,5.65151362361259,0.405103479132492,13.9507901430889,3.11139155339873e-44,2.80818644652002e-41
"F16B4.6",176.786802837394,6.11732486302893,0.44207548297588,13.8377383469662,1.50879442487675e-43,1.29691657921191e-40
"D2030.6",6984.69215202308,-1.51359549094535,0.117654366028428,-12.8647626266554,7.10598871606371e-38,5.83046374153027e-35
"psF41B5.1",321.093629062533,2.03713267854205,0.159250316423326,12.7920165202489,1.81697317207251e-37,1.42600794474265e-34
"Y38A10A.6",1349.52227492889,-2.32337261777754,0.181676526163683,-12.7885130062663,1.90075954208652e-37,1.42960877059182e-34
"T26E3.7",347.45363467337,4.73669565485148,0.375140722056763,12.6264502261494,1.5093490899042e-36,1.08981041687443e-33
"F10E7.2",412.759268498292,2.32667065309057,0.18903827416762,12.3079342706414,8.20976278884432e-35,5.6997856962088e-32
"psF55H2.4",709.191841871285,2.32875946174506,0.191844295964811,12.1387995928334,6.57840328316388e-34,4.39802806164412e-31
"F55A3.6",139.377114784972,3.62320394960803,0.304274050294378,11.9076994771741,1.07913598048443e-32,6.95695842275873e-30
"Y48G1BM.8",231.334978007858,4.32254890370049,0.373929155583625,11.5598070895379,6.58565683242307e-31,4.099230740761e-28
"F58H7.5",257.416631615787,4.75414695422793,0.412841392603265,11.5156741533342,1.09995913640015e-30,6.61845412371968e-28
"K01A11.4",463.219312302367,3.12460907874269,0.276787997867228,11.2888170831798,1.49028813292186e-29,8.67780357657178e-27
"B0250.8",421.719811943975,5.29137587534282,0.476685961552443,11.100339221466,1.24968668158e-28,7.04940446537516e-26
"Y56A3A.5",277.033696303988,4.15348150026305,0.374725706274742,11.0840581009347,1.49919926749695e-28,8.20061999320832e-26
"T02G5.4",620.057444896564,2.00862399436028,0.18582616605229,10.809155874179,3.11523388544725e-27,1.65391431959436e-24
"F37D6.3",212.046095807107,5.10316874586785,0.476211703895572,10.716176658663,8.54635174240822e-27,4.40771986577745e-24
"F40B1.1",348.94948590947,4.95934087214108,0.464824126844353,10.6692845438329,1.41713329061396e-26,7.10574250802018e-24
"Y53F4B.5",135.19747086414,6.26080312586637,0.590681010345162,10.5992964327868,3.00230326781799e-26,1.46471827803737e-23
"C16C8.16",1108.00244484055,-12.5071157916788,1.18588505473491,-10.5466509943281,5.26400687301675e-26,2.50054179117961e-23
"trF58H7.6",319.98726604843,3.20593580429227,0.306928885303567,10.4452072053155,1.5411846239023e-25,7.13331375540012e-23
"linc-29",629.31369497811,2.51373119805886,0.241150266738255,10.423920454491,1.92836690449699e-25,8.70223774826881e-23
"T16G12.4",851.23877792462,1.81005502018477,0.178492786659822,10.1407740562336,3.6420212581963e-24,1.60346648126101e-21
"psY23H5A.1",561.273158197022,2.11252119328614,0.208721587221682,10.1212395967574,4.44746772271625e-24,1.91145809197026e-21
"K08F11.1",254.771252138821,6.05124714052694,0.60592120703975,9.98685484221706,1.74015574340697e-23,7.2791774560178e-21
"C18H2.1",279.140010627697,3.0588186698496,0.306343637344581,9.98492639300024,1.77432722876729e-23,7.2791774560178e-21
"C18H7.1",58.8897668428224,-4.37399109536864,0.440362223467477,-9.93271189550999,2.99983819161652e-23,1.20333509326378e-20
"psY39E4B.14",258.260637500526,2.7067354633719,0.274894112090476,9.84646576381028,7.09966951485641e-23,2.78600292201463e-20
"R12E2.5",1018.68846640858,1.13343203528397,0.116693750440958,9.71287691929517,2.65728894935987e-22,1.02056857074245e-19
"C29F5.1",1102.38071904663,1.28512384123866,0.132904906227949,9.6694988748911,4.06362982776831e-22,1.52817879210512e-19
"F49F1.8",250.117664881578,3.61615063907715,0.375475206148585,9.63086398212443,5.92293552860338e-22,2.18193692299632e-19
"trC03A7.1",378.042448513736,3.81873607833041,0.398759636185611,9.57653616815143,1.00354186463445e-21,3.6229868397033e-19
"F55A3.5",204.644767988899,3.9348160645458,0.411562538830356,9.56067594424018,1.1699008413449e-21,4.14076080139545e-19
"R09E10.2",346.646928138153,7.79920392013895,0.823181000560225,9.47447027425453,2.68117621016403e-21,9.30729072493673e-19
