"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C14C11.6",1068.4360677864,-4.64177245574078,0.194412989691261,-23.8758349589303,5.46065871337294e-126,8.47821871838283e-122
"F28F8.7",1860.0207481343,3.71185967421682,0.168760126291765,21.9948856153348,3.22344455568596e-107,2.50236000857901e-103
"F07B7.2",1482.38411830137,5.82491590356634,0.306644437966809,18.9956678888036,1.85216174077651e-80,7.18916579682404e-77
"W09B7.2",1482.38411830137,5.82491590356634,0.306644437966809,18.9956678888036,1.85216174077651e-80,7.18916579682404e-77
"F07B7.1",561.174490403921,5.88281296541905,0.340018164808672,17.3014667281947,4.58564100766e-67,1.18661103808215e-63
"W09B7.1",561.174490403921,5.88281296541905,0.340018164808672,17.3014667281947,4.58564100766e-67,1.18661103808215e-63
"ZC15.3",560.341353046762,5.56571228513359,0.329161171339264,16.9087753044755,3.87681189195471e-64,8.59876877635555e-61
"F10F2.1",9887.74483891696,-1.50092410787796,0.090607052735229,-16.565201742782,1.24362325508272e-61,2.41356183230179e-58
"C38D9.2",3324.75208289212,5.90929390789319,0.369036719854932,16.0127531759336,1.04099669674463e-57,1.79583496818413e-54
"ZK856.7",631.116537345029,-3.61367934610089,0.255310181385584,-14.1540745711324,1.76242561513921e-45,2.73634201006514e-42
"Y38A10A.6",1349.52227492889,-2.4427663725352,0.184440811694638,-13.2441749203504,4.87611086082555e-40,6.8824088386525e-37
"Y67D2.2",947.775182606214,-2.63188942639639,0.211043873750206,-12.4708165161502,1.07716610233691e-35,1.39367340874024e-32
"C27C7.1",739.814869865425,3.90255323145995,0.319845645892388,12.2013642567233,3.05659418820178e-34,3.65051395123237e-31
"D2030.6",6984.69215202308,1.44190189485912,0.118369156801139,12.1813987175859,3.905263022856e-34,4.3309366923473e-31
"trF58H7.6",319.98726604843,3.5790157630009,0.298973196621231,11.9710255081333,5.04017754177566e-33,5.21691976757393e-30
"C41D11.6",512.594965201676,3.81529341192347,0.343097088774799,11.1201567624718,1.00095960770397e-28,9.71306179325744e-26
"F07A11.4",444.794978398215,2.273561905363,0.2061063751794,11.0310120363042,2.70800366243719e-28,2.47320381547058e-25
"F37H8.2",770.439117826252,-1.15167556083904,0.111364148595539,-10.3415288974352,4.57184567556784e-25,3.94347088660368e-22
"R06C1.4",1810.21781248865,1.17756247557567,0.116459188979977,10.1113745157381,4.91892519395282e-24,4.0195385558585e-21
"Y6B3B.4",2751.12758634592,-1.52153206582863,0.169962161397355,-8.95218119915191,3.48526254270714e-19,2.70560931190355e-16
"F54C9.3",1249.99989076068,1.13628807289637,0.12928618105027,8.78893678864684,1.50981982889409e-18,1.11626012682903e-15
"F58H7.5",257.416631615787,3.10736923642204,0.3620915181218,8.58172335143398,9.3462200532219e-18,6.59588238846924e-15
"W08F4.9",243.194166058152,3.05234095348874,0.364514310505368,8.37372049743928,5.58270795418123e-17,3.76857059550512e-14
"psY59H11AR.6",222.57111706687,2.13594453642459,0.263138598073558,8.11718444979899,4.77123336626755e-16,3.08659038519458e-13
"C39E9.2",187.685492157995,-3.96454201284643,0.49177722791749,-8.06166245158386,7.52637875454128e-16,4.67418226172032e-13
"F41G4.7",121.796081477629,3.87629660301361,0.485018867535735,7.99205322198732,1.3270972019383e-15,7.71009459098939e-13
"Y73C8C.2",123.339101065246,-2.96980760240979,0.371653953092168,-7.99078706872598,1.34079965191752e-15,7.71009459098939e-13
"R05A10.3",52.344475751135,-3.17371111619875,0.400490260774546,-7.92456503202054,2.28946310078399e-15,1.26950728938472e-12
"psZC15.4",97.3951088905239,2.68792810197683,0.341889875677419,7.86197045657167,3.78137231615944e-15,2.02446850278246e-12
"trC03A7.1",378.042448513736,3.17093216374376,0.405942142279071,7.81129090451481,5.66051962031836e-15,2.92950758750209e-12
"ZC376.7",2050.68148027028,-1.14089430480292,0.147212992017032,-7.74995663881978,9.19239326921013e-15,4.60390638379859e-12
"F59A2.3",3361.50305133641,-0.964885398429934,0.125040876570984,-7.71655977541219,1.19511541306944e-14,5.79855059478629e-12
"M142.1",102.150840424154,-2.01303347767718,0.263888031422582,-7.62836217628066,2.37754838135734e-14,1.11860048996831e-11
"C50B6.7",547.50304428678,-1.947149553316,0.257145631271127,-7.5721665722681,3.67050388356224e-14,1.67612480282904e-11
"F15B9.10",629.409199990259,-1.84889670176094,0.249088793302447,-7.42264104798961,1.14807619213006e-13,5.09286598828894e-11
"trK03D3.6",138.265047155472,4.52213889736164,0.616896550176622,7.33046553116064,2.29354616582933e-13,9.80608761774502e-11
"psY39E4B.14",258.260637500526,-1.93033294002795,0.263420365608201,-7.32795634677329,2.33688807069796e-13,9.80608761774502e-11
"R03G8.3",204.107863220745,1.7261886974257,0.23965828138831,7.20270832047241,5.90281575884531e-13,2.41176624925875e-10
"C27A2.3",4610.58069539092,-0.907231945540115,0.126470792420529,-7.17345031351958,7.31308019798306e-13,2.91135597830474e-10
"F08G2.1",4813.43347078176,1.98665809466042,0.277504121962483,7.15902192951571,8.12546888176297e-13,3.00371499662504e-10
"ZK131.5",4813.43347078176,1.98665809466042,0.277504121962483,7.15902192951571,8.12546888176297e-13,3.00371499662504e-10
"ZK131.9",4813.43347078176,1.98665809466042,0.277504121962483,7.15902192951571,8.12546888176297e-13,3.00371499662504e-10
"C14B9.4",8323.90376842194,-0.649607292127974,0.0912100406277438,-7.12210287000333,1.06292672634385e-12,3.83790705888712e-10
"linc-8",307.05691809348,2.30101042735059,0.32528100179625,7.07391582860381,1.50621668268987e-12,5.31489095805523e-10
"Y71F9B.7",3296.49178712384,-0.670497126411914,0.0951914286147019,-7.04367122302394,1.87239659705075e-12,6.46018434795775e-10
"R12E2.5",1018.68846640858,0.855859938094072,0.121813282059903,7.02599850871103,2.12540729611088e-12,7.17371166943858e-10
"F13H8.8",159.019885857829,3.14580677617104,0.448399163335834,7.01563926383812,2.28899939282657e-12,7.56149033468624e-10
"Y18D10A.25",531.191684770439,-2.34869240391116,0.338337027845483,-6.94187218841383,3.86937226865573e-12,1.2515807050656e-09
"psF43G6.3",652.518251902779,-1.09724985186313,0.158373531327639,-6.92824010846337,4.26108092388786e-12,1.35015392702618e-09
"WBTransposon00000111",431.275343682063,1.2217376027429,0.178442130423511,6.84668805423506,7.55792742903868e-12,2.34688762526509e-09
"psY23H5A.1",561.273158197022,-1.40921497628977,0.206167536752745,-6.83529035892699,8.18390976796993e-12,2.49143888348042e-09
"C07G1.7",86.0609381792763,-3.48904875156376,0.51442633488533,-6.78240695500455,1.18189981905612e-11,3.52888011358948e-09
"C14C11.3",954.502204902966,1.40131458865493,0.206704513804403,6.77931295675983,1.20748711370481e-11,3.53725375988318e-09
"T26E3.7",347.45363467337,-2.25927303303201,0.334056376556485,-6.76314895204521,1.35024290099965e-11,3.88219838535566e-09
"F26B1.3",15142.5951552662,-0.711813501885016,0.105310605649692,-6.75918154200741,1.38773423244596e-11,3.91744758053745e-09
"K08B4.5",103.773883138598,-1.76525478089273,0.262036924953508,-6.73666423617944,1.62064090272428e-11,4.49322690280306e-09
"C25D7.8",2588.05533711481,-0.766503226030078,0.114424995050768,-6.69873942917801,2.1022506194232e-11,5.72623563459027e-09
"K02E2.6",244.485955969934,1.89133089463905,0.282789867039821,6.68811409134655,2.26064869355583e-11,6.05152269243929e-09
"F49E11.11",130.760297502563,-3.06465663578526,0.458637962710608,-6.68208235025456,2.35570576818955e-11,6.19909961981542e-09
"W01G7.5",3999.46574201188,-0.605923154223891,0.0907822063039927,-6.67447045949622,2.48126450276227e-11,6.42068544498118e-09
