"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"D2096.1",5300.47062668416,5.27749842357164,0.187549000248361,28.1393044835373,3.23930932184025e-174,5.98430004116768e-170
"C14C11.6",1068.4360677864,-4.66824151804656,0.194087973698841,-24.0521935959315,7.91804857068681e-128,7.3139014647434e-124
"F28F8.7",1860.0207481343,3.85247674723929,0.167088526175838,23.0565008586232,1.26583059415979e-117,7.79498479883601e-114
"C38D9.2",3324.75208289212,8.23953266576585,0.405264343911932,20.3312548699236,6.80400098695789e-92,3.1424278558265e-88
"F07B7.1",561.174490403921,5.64431112973147,0.308024649943249,18.3242189570588,5.30373076719734e-75,1.63301870322006e-71
"W09B7.1",561.174490403921,5.64431112973147,0.308024649943249,18.3242189570588,5.30373076719734e-75,1.63301870322006e-71
"F37H8.2",770.439117826252,2.48594627552943,0.138877610408904,17.9002667759759,1.17358408060145e-71,3.09725604357587e-68
"ZC15.3",560.341353046762,7.46350923303702,0.430602522383696,17.332711363884,2.66464631427706e-67,6.1533345012443e-64
"Y23H5A.8",668.982589632692,6.01873636890568,0.347510967643201,17.3195580263966,3.34920169307675e-67,6.8747946753222e-64
"F07B7.2",1482.38411830137,4.89290422592054,0.282726756583673,17.3061237112607,4.22948001513592e-67,7.10321943632918e-64
"W09B7.2",1482.38411830137,4.89290422592054,0.282726756583673,17.3061237112607,4.22948001513592e-67,7.10321943632918e-64
"C52E2.6",572.347375142517,3.64070195767052,0.224560130628812,16.2125928029871,4.10862822899397e-59,6.32523315853622e-56
"F10F2.1",9887.74483891696,-1.40195307479264,0.0905233461783389,-15.4871989821352,4.23336453625474e-54,6.01593664944385e-51
"C41D11.6",512.594965201676,6.04606449196389,0.409243328189842,14.7737643487231,2.16287527732776e-49,2.85406841952522e-46
"trF58H7.6",319.98726604843,4.29511784277867,0.306806073830151,13.9994550601905,1.5707047614637e-44,1.93447998421869e-41
"ZK856.7",631.116537345029,-3.55809041222771,0.254973614537217,-13.9547396646736,2.94374652135396e-44,3.39892332721831e-41
"F29C12.5",1144.59394633657,3.42026911017783,0.248974593534362,13.73742220692,6.05951052781472e-43,6.58490573475584e-40
"Y38A10A.6",1349.52227492889,-2.41252615669719,0.184176333027985,-13.0990020109186,3.33615486136767e-39,3.42400693938368e-36
"F55A3.7",810.423356896946,2.38730418919876,0.182625975710429,13.0720954667701,4.75377319294316e-39,4.62216873507537e-36
"C45B2.1",2025.34570658551,2.93487103691145,0.226126789667759,12.9788736718173,1.61234161485093e-38,1.48931994963781e-35
"R05A10.1",98.0419623403359,-5.83294201929085,0.463607824136067,-12.5816298078242,2.66474789668956e-36,2.3442167925449e-33
"F58H7.5",257.416631615787,5.19384514291678,0.413371294608563,12.5646004225693,3.30540724802781e-36,2.77564061363935e-33
"C08F11.7",226.950611583301,3.80056450392977,0.309215062168128,12.2910070333615,1.01236950862375e-34,8.1315279575283e-32
"Y69H2.14",7049.6218226028,2.10310842021106,0.186466021887677,11.2787756124166,1.67054819449509e-29,1.2859044727126e-26
"W08F4.9",243.194166058152,4.42238883859629,0.407735632263532,10.8462162456725,2.07852699046762e-27,1.53594830487595e-24
"C18H2.1",279.140010627697,3.27886320523848,0.30748189917002,10.6635974803364,1.50654799398298e-26,1.07046029387852e-23
"Y67D2.2",947.775182606214,-2.22721253301135,0.211107082686943,-10.550155421901,5.07131362047961e-26,3.46990547499038e-23
"C32B5.6",285.540985206958,3.10040191722346,0.296011759090795,10.4739147078021,1.13835801846032e-25,7.51072358322714e-23
"K08E5.1",211.119987214183,-2.65855990702421,0.254369901085319,-10.4515506578449,1.44148824468604e-25,9.18277718356205e-23
"psF55H2.4",709.191841871285,2.00909118389324,0.193391320767829,10.3887350058755,2.79029188667313e-25,1.71826174381331e-22
"C17C3.15",238.398391692012,2.30493075411409,0.22294489962242,10.338566874675,4.71536245358043e-25,2.81005180540145e-22
"M142.1",102.150840424154,-2.5975389748708,0.255433605285073,-10.1691356232155,2.72314433311318e-24,1.5721052628104e-21
"C29F5.1",1102.38071904663,1.34152342858968,0.133848285986838,10.0227165308759,1.21127065341644e-23,6.78091334885314e-21
"R09E10.2",346.646928138153,8.23273120412618,0.823476880179583,9.99752561642142,1.56252435954556e-23,8.4900220641896e-21
"psF41B5.1",321.093629062533,1.62813241409056,0.163387011061022,9.96488278668914,2.17129831555258e-23,1.14607328804338e-20
"ZK384.2",16.2610144449357,19.1491032010695,1.92840027654448,9.93004586961734,3.08113773333274e-23,1.58113718015525e-20
"T15B7.4",3331.25572384181,3.75483121984478,0.381183660901583,9.85045164570745,6.82366465011309e-23,3.34527454031381e-20
"T16G12.4",851.23877792462,1.76689091849898,0.179386891152819,9.84961000853608,6.88104538984111e-23,3.34527454031381e-20
"C52A10.1",968.115626803017,1.37115618772955,0.141620533892739,9.68190240525458,3.59954653936972e-22,1.7050775068799e-19
"Y47G6A.15",228.298841182999,5.83317205986291,0.603148577628587,9.67120254647259,3.99653975246653e-22,1.84580188467666e-19
"psZC15.4",97.3951088905239,3.41641733257774,0.359412296277249,9.50556608097327,1.98962892314173e-21,8.96497676246839e-19
"C24F3.6",15096.8410033343,2.80475137913338,0.301384789788292,9.30621409628396,1.32470115889727e-20,5.74388560363107e-18
"WBTransposon00000111",431.275343682063,1.66592865699262,0.179031306881667,9.30523653102601,1.33694425114288e-20,5.74388560363107e-18
"F55A3.6",139.377114784972,2.88332573586516,0.310666266298671,9.28110338537098,1.67732450750737e-20,7.0424756708389e-18
"F40B1.1",348.94948590947,4.30171955772727,0.466774185430099,9.21584717407528,3.08829836553533e-20,1.2678494223311e-17
"ZC15.10",108.156047083969,3.44910155373835,0.376673180164478,9.15674843701978,5.34845681617108e-20,2.14798676569444e-17
"K02B7.3",390.037545259004,1.77159404982642,0.194329689634853,9.11643533808577,7.76358953804394e-20,3.05158623671966e-17
