"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00000001","unk",543.157,-1.263,0,"WBGene00000001","unk",2284.848,-0.023,0.921
"WBGene00000003","unk",2.719,-1.635,0.563,"WBGene00000003","unk",113.844,-0.414,0.455
"WBGene00000004","unk",202.99,0.429,0.147,"WBGene00000004","unk",304.035,-0.542,0.054
"WBGene00000005","unk",5.634,-1.137,0.535,"WBGene00000005","unk",164.889,0.413,0.336
"WBGene00000006","unk",5.004,-1.327,0.506,"WBGene00000006","unk",161.544,-0.584,0.153
"WBGene00000007","unk",11.214,-1.293,0.299,"WBGene00000007","unk",111.793,0.056,0.949
"WBGene00000008","unk",7.229,-1.239,0.436,"WBGene00000008","unk",28.412,0.568,0.647
"WBGene00000009","unk",5.404,1.78,0.31,"WBGene00000009","unk",10.851,-0.163,0.957
"WBGene00000010","CSR",238.906,0.593,0.024,"WBGene00000010","CSR",777.718,0.028,0.939
"WBGene00000018","CSR",43.089,-0.246,0.73,"WBGene00000018","CSR",781.452,-0.535,0.001
"WBGene00000019","ALG",5.332,4.665,0.039,"WBGene00000019","ALG",46.162,2.144,0.003
"WBGene00000020","unk",199.13,0.096,0.794,"WBGene00000020","unk",276.042,-0.249,0.575
"WBGene00000021","unk",4.205,-1.806,0.393,"WBGene00000021","unk",3.801,5.292,0.087
"WBGene00000022","WAGO",51.237,0.756,0.224,"WBGene00000022","WAGO",643.039,0.386,0.163
"WBGene00000023","ALG",10.033,3.962,0.006,"WBGene00000023","ALG",39.048,1.432,0.059
"WBGene00000031","unk",29.454,2.065,0.003,"WBGene00000031","unk",16.118,-3.61,0.009
"WBGene00000035","unk",106.801,0.823,0.033,"WBGene00000035","unk",152.986,-0.023,0.978
"WBGene00000036","unk",12.19,-0.17,0.906,"WBGene00000036","unk",237.869,-0.364,0.392
"WBGene00000037","unk",12.563,-0.095,0.946,"WBGene00000037","unk",126.794,-1.874,0
"WBGene00000038","unk",17.509,-1.88,0.061,"WBGene00000038","unk",10.365,-0.667,0.766
"WBGene00000039","unk",61.179,-3.231,0,"WBGene00000039","unk",321.796,-2.042,0
"WBGene00000040","CSR",125.179,1.753,0,"WBGene00000040","CSR",5504.99,0.919,0
"WBGene00000041","ALG",915.491,-0.695,0,"WBGene00000041","ALG",20130.1,0.31,0
"WBGene00000044","unk",55.531,-0.037,0.959,"WBGene00000044","unk",22.706,-0.598,0.67
"WBGene00000045","unk",10.326,-2.969,0.031,"WBGene00000045","unk",2.826,-0.039,0.995
"WBGene00000046","unk",53.659,-0.36,0.553,"WBGene00000046","unk",17.699,-1.313,0.325
"WBGene00000047","unk",4.942,2.835,0.135,"WBGene00000047","unk",44.624,-1.131,0.134
"WBGene00000048","unk",72.584,-5.583,0,"WBGene00000048","unk",16.105,-0.916,0.586
"WBGene00000049","unk",7.066,2.615,0.119,"WBGene00000049","unk",6.34,-0.142,0.969
"WBGene00000050","unk",17.819,0.754,0.458,"WBGene00000050","unk",26.46,1.277,0.227
"WBGene00000051","unk",2.703,0.286,0.921,"WBGene00000051","unk",29.627,0.176,0.917
