"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00000113","alh-7","unk",622.693,874.1,124617.108,126525.882,167.669,0
"WBGene00000464","ceh-44","CSR",787.226,923.4,103630.221,103274.4,120.9,0
"WBGene00000801","cars-2","WAGO",20755.595,20141.856,330.859,246.486,-71.347,0
"WBGene00000819","csp-1","WAGO",9521.805,9611.184,241.623,266.672,-37.534,0
"WBGene00000973","dhs-9","unk",427.785,604.123,80514.03,82410.22,157.728,0
"WBGene00001119","dyf-3","WAGO",683.444,669.856,25579.099,25691.904,37.889,0
"WBGene00001433","fkb-8","WAGO",36864.617,36670.714,730.361,643.838,-53.62,0
"WBGene00001745","gsa-1","WAGO",9990.091,9739.521,142.777,110.494,-78.678,0
"WBGene00001791","gst-43","unk",205.033,253.544,18437.489,19269.459,82.109,0
"WBGene00001859","hil-8","WAGO",22650.675,22082.561,498.348,352.73,-52.862,0
"WBGene00001921","his-47","histone",181.408,199.548,20157.681,18703.179,101.924,0
"WBGene00001931","his-57","histone",202.502,222.242,23416.847,21603.638,105.913,0
"WBGene00001935","his-61","histone",124.032,104.078,7167.694,6868.669,61.636,0
"WBGene00001939","his-65","histone",181.408,199.548,20157.681,18703.179,101.924,0
"WBGene00001942","his-68","histone",112.22,132.25,7784.107,7614.502,62.885,0
"WBGene00001976","hmg-11","WAGO",14281.442,12559.804,192.2,144.492,-80.448,0
"WBGene00003234","mif-1","unk",205.877,317.712,40000.977,38341.305,149.329,0
"WBGene00004751","sea-2","unk",3904.911,4563.004,315407.367,314631.801,74.396,0
"WBGene00007125","WBGene00007125","WAGO",41577.847,38207.627,650.735,446.224,-73.072,0
"WBGene00007133","WBGene00007133","WAGO",9230.709,9697.264,145.523,95.62,-79.712,0
"WBGene00007299","WBGene00007299","unk",135.845,194.853,29342.104,29670.739,177.968,0
"WBGene00007766","WBGene00007766","unk",1357.606,1430.487,65050.152,63963.088,46.268,0
"WBGene00007982","pxd-1","WAGO",9169.115,8803.601,155.133,132.805,-62.782,0
"WBGene00008086","WBGene00008086","WAGO",20596.125,21465.918,159.252,150.866,-135.914,0
"WBGene00008348","WBGene00008348","unk",549.286,569.691,28026.905,28372.438,50.395,0
"WBGene00008576","WBGene00008576","unk",82.688,104.861,9714.346,10129.295,105.538,0
"WBGene00009247","bath-45","WAGO",43659.397,43679.163,712.514,547.156,-69.59,0
"WBGene00009310","WBGene00009310","WAGO",64655.463,60539.037,969.238,735.208,-73.659,0
"WBGene00009367","WBGene00009367","CSR",372.097,460.917,27155.14,28063.268,66.226,0
"WBGene00009696","WBGene00009696","WAGO",8710.954,8822.382,278.69,303.858,-30.028,0
"WBGene00009739","WBGene00009739","unk",123.189,155.726,12768.957,12398.665,90.04,0
"WBGene00010768","WBGene00010768","WAGO",533.255,510.218,25870.145,26106.255,49.821,0
"WBGene00010769","asah-1","WAGO",275.909,340.406,19690.909,20327.649,64.857,0
"WBGene00010989","WBGene00010989","unk",996.478,1277.109,109197.162,109058.319,95.955,0
"WBGene00011049","sdz-26","WAGO",12170.361,11270.174,134.54,99.869,-101.172,0
"WBGene00011398","qdpr-1","WAGO",9372.46,8917.852,148.269,125.368,-67.269,0
"WBGene00011804","WBGene00011804","unk",3498.219,3598.129,149751.401,151899.054,42.507,0
"WBGene00011964","saeg-2","WAGO",29246.329,27454.714,337.723,242.236,-98.52,0
"WBGene00012003","WBGene00012003","WAGO",10507.314,10444.592,271.826,214.613,-43.358,0
"WBGene00012040","WBGene00012040","WAGO",44476.155,41633.597,601.312,429.225,-83.96,0
