"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00017069","timm-17B.2","WAGO",82.311,83.821,9881.274,9891.081,118.838,0
"WBGene00009247","bath-45","WAGO",57.125,64.926,1994.607,2218.972,34.268,0
"WBGene00020674","T22B7.7","unk",191.153,190.148,2470.033,2422.048,12.832,0
"WBGene00018878","glit-1","WAGO",407.688,468.631,3169.836,3374.779,7.44,0
"WBGene00017500","pud-2.2","unk",456.647,451.651,2975.734,3102.033,6.694,0
"WBGene00001075","dpy-14","unk",1843.909,2197.086,150.445,129.26,-14.486,0
"WBGene00005018","sqt-3","unk",1901.646,2369.497,207.009,179.204,-11.101,0
"WBGene00004178","prg-1","ALG",10538.836,9848.246,3167.913,3147.625,-3.227,0
"WBGene00012040","T26E3.7","WAGO",24.709,30.817,1236.263,1355.106,45.998,0
"WBGene00001433","fkb-8","WAGO",41.36,70.587,1238.861,1298.703,22.114,0
"WBGene00018852","F55A3.7","unk",180.034,155.585,1595.246,1552.134,9.43,0
"WBGene00001908","his-34","histone",14.583,14.505,1195.069,1208.323,82.659,0
"WBGene00001076","dpy-17","unk",2077.489,2374.813,381.145,330.055,-6.272,0
"WBGene00000698","col-124","unk",6938.837,7355.088,20555.828,18835.595,2.755,0
"WBGene00010734","parn-1","ALG",812.061,852.695,3186.5,3363.746,3.931,0
"WBGene00000668","col-93","unk",11441.816,12188.287,27888.027,27623.342,2.349,0
"WBGene00016885","fbxb-97","WAGO",59.471,53.121,900.72,945.236,16.493,0
"WBGene00000599","col-10","unk",2399.598,2946.037,557.599,551.829,-4.824,0
"WBGene00000712","col-139","unk",174.532,207.68,1451.204,1322.592,7.215,0
"WBGene00009511","F37H8.2","WAGO",62.095,74.715,876.909,859.867,12.586,0
"WBGene00000715","col-142","unk",567.079,540.265,2202.464,2141.987,3.928,0
"WBGene00018297","F41F3.3","unk",1050.749,1148.042,157.205,158.24,-6.975,0
"WBGene00000703","col-129","unk",218.377,301.023,1757.401,1567.922,6.363,0
"WBGene00000673","col-98","unk",2996.527,2933.318,7312.514,7047.657,2.422,0
"WBGene00017501","pud-3","unk",24.548,34.779,628.052,745.581,22.711,0
"WBGene00015660","catp-3","unk",314.295,335.085,1487.993,1534.175,4.646,0
"WBGene00007124","B0250.7","WAGO",254.442,297.618,1395.207,1364.691,5,0
"WBGene00011175","R09E10.5","unk",679.516,856.554,68.243,45.717,-13.572,0
"WBGene00018099","ztf-28","unk",559.323,590.877,19.054,31.02,-22.808,0
