files,replicates,condition,control_condition
sample1.genes.results,wt_1,wt,TRUE
sample2.genes.results,wt_2,wt,TRUE
sample3.genes.results,wt_3,wt,TRUE
sample4.genes.results,prg-1_1,prg-1,FALSE
sample5.genes.results,prg-1_2,prg-1,FALSE
sample6.genes.results,prg-1_3,prg-1,FALSE
sample7.genes.results,mut-14-smut-1_1,mut-14-smut-1,FALSE
sample8.genes.results,mut-14-smut-1_2,mut-14-smut-1,FALSE
sample9.genes.results,mut-14-smut-1_3,mut-14-smut-1,FALSE
sample10.genes.results,prg-1-mut-14-smut-1_1,prg-1-mut-14-smut-1,FALSE
sample11.genes.results,prg-1-mut-14-smut-1_2,prg-1-mut-14-smut-1,FALSE
sample12.genes.results,prg-1-mut-14-smut-1_3,prg-1-mut-14-smut-1,FALSE
