"","Common_Name","N2_1","N2_2","prg-1 disl-2_1","prg-1 disl-2_2","prg-1 disl-2_3","Fold_Change","padj"
"C30G12.2","C30G12.2",309.649216547426,316.955914309103,5304.62839639069,4989.9563608274,5282.95248932761,16.5556211999814,0
"D2096.1","timm-17B.2",60.8508266269318,74.1516898421787,5531.09229474525,4531.28325983796,5412.78455579119,75.4752570619513,0
"F15D4.5","F15D4.5",60.5702985073407,48.4958519864167,11936.7332244998,11672.6564037898,11234.1845855475,216.571473578672,0
"T22B7.7","T22B7.7",155.8783597432,150.992200165492,10609.6768822329,8166.57296976922,10773.3670241962,64.2856276756499,0
"W05B2.6","col-92",202.196785395604,197.297634570753,10365.7641871229,10518.2692598671,9474.81862591952,50.7040169268543,0
"M18.1","col-129",207.37747642129,269.188242127573,6712.49898440914,6157.26852245127,7165.42517506322,27.7948678096925,1.75458441515017e-304
"C24F3.6","col-124",5312.87656593707,5659.89386361828,47615.7365719775,46899.8819188132,47456.8263852718,8.62367485458822,9.59602257566057e-296
"F38A3.1","col-81",122.777103417941,150.144017080862,4120.85385866399,3976.21680523578,4160.92969754195,29.6700972326553,9.06677824827427e-279
"F14F7.1","col-98",2354.29045618151,2268.26406301147,12811.2283902823,11602.0450966878,12140.245407555,5.27395468748879,1.85264929391085e-215
"F41F3.4","col-139",157.721379264381,184.525681738976,5419.50810136979,5034.18375435854,5321.55358557704,30.5856247238817,2.17722303572652e-210
"C27D8.3","C27D8.3",294.101935645868,367.804922722019,3036.92913531876,2945.48780880466,2692.29156795788,8.66017117155533,5.44017280931003e-201
"T15B7.4","col-142",513.316138369427,496.665708408449,6308.84648824868,5874.74606721133,5938.43403589219,11.969252014123,8.40427429358264e-187
"W05B2.1","col-94",2342.11276416575,2866.82041189329,18405.2052246115,18462.8104483542,17648.4701033949,6.96891655848484,4.48760539685012e-180
"Y69H2.14","col-42",2206.50408158483,2602.61869583963,13571.891782045,13145.8185765547,14372.5780959351,5.68920245834373,3.35818195545244e-169
"ZK1193.1","col-19",9978.62559340893,10320.4575048352,42999.8985051417,39649.7925115193,42623.3695284916,4.11388980127118,5.65582167076043e-168
"F02H6.4","F02H6.4",991.814151329987,961.669909325223,98.1616821588612,87.9714495241847,89.3032174292036,-10.6325073198055,2.6499182123586e-161
"C04F12.9","rnh-1.3",71.3500302884508,59.2820687186304,1825.25137728814,1825.95736140507,2429.22274182046,31.3234711707394,3.63116342166922e-156
"ZK816.5","dhs-26",19.2754374789129,14.6033581320671,2994.27016041547,2507.38254116916,3592.79160788538,182.680638778173,3.06892812663516e-155
"F11H8.3","col-8",10382.3019707827,11298.3061615107,36373.5139542927,34213.9829937444,36465.478793297,3.29092787845725,7.4708948860137e-154
"F29C12.5","bath-45",47.2219552531118,60.5768135522413,1219.6853161709,1162.64998425943,1110.07011085211,21.2446450272835,3.14812556705508e-150
"F52B11.4","col-133",28.8852550565149,41.1751585191136,1991.59329066746,1707.96365246429,2157.32545801517,54.5712369935437,3.02338002390296e-148
"D2030.6","prg-1",9556.47162416935,8954.60930550069,2831.56090380757,2727.27280332765,2470.24938534627,-3.45827593625338,8.00284221392666e-130
"F26F12.1","col-140",20488.4371691222,24662.2053614187,87366.268150548,87465.8554573299,89778.1974786841,3.90634839890994,3.48586179457743e-127
"F08A8.2","acox-1.2",145.724561705931,185.120601794062,1548.00890528051,1603.81814061439,1448.50199304208,9.1798312755032,5.13875981718421e-122
"C05C10.4","pho-11",667.431411814458,839.420202443009,4921.53800956231,4932.07745827164,5711.14223984564,6.86527514655327,3.61718878296204e-121
"C34F6.3","col-179",3438.58307643712,3473.14560069087,12230.4464115568,11641.1821003358,13152.1546732611,3.57094589145271,7.88517935260171e-121
"F10D2.11","ugt-41",396.392825886525,440.355079048566,2819.20838048507,2455.23532249504,3078.83912116257,6.63974400513248,5.2318511943263e-120
"F28A12.4","asp-13",2255.70485954089,2761.3228520029,9109.68297846605,8922.12662857238,8624.81703294885,3.53533690995354,3.28073119914789e-118
"F56B3.1","col-103",1299.18333493919,1367.72872327727,7368.15039232966,7685.56315124043,6543.61275512671,5.39590796540457,2.39244374218945e-115
"F54D8.1","dpy-17",1987.10113517353,2264.09591988708,284.958697376247,293.821619171968,299.140725567864,-7.26806091060705,1.03750163019517e-114
"Y18D10A.25","fkb-8",32.4667171390391,46.261615306003,840.630157365012,813.742558793987,765.811011105619,20.0017688643696,2.74311899262922e-113
"F11G11.11","col-20",11275.2268939597,13405.4895662412,52138.6876854669,52494.8103852074,49152.1745640671,4.1529787621882,6.67210022374483e-107
"F56A4.2","F56A4.2",765.075890219844,836.619061604056,3065.57994926636,2922.54704752131,2973.48039053071,3.72235556825042,3.36337505256806e-106
"Y19D10A.9","clec-209",765.075890219844,836.619061604056,3065.57994926636,2922.54704752131,2973.48039053071,3.72235556825042,3.36337505256806e-106
"F55A3.7","F55A3.7",136.765389629913,107.241819643483,985.127738194679,916.341653933589,896.612906207276,7.74155234194237,1.66663882195964e-101
"F37H8.2","F37H8.2",58.2867788105502,64.309259050127,875.442247112323,748.802470069185,742.650191652644,12.7934495099623,6.36635103768527e-101
"Y45G12C.2","gst-10",120.458916496027,128.683424311739,962.204500633389,934.953777251647,1080.50183702543,7.94250271707049,4.25596289114835e-99
"ZK455.1","aco-1",3442.54680959398,3793.6350294874,9244.57390182107,9066.91508629474,9028.21172764049,2.5162566911269,1.12833315495908e-98
"F44D12.4","gipc-2",22.9282707188974,18.9450135317859,964.874791634328,867.072753023212,1048.10349326698,46.4786424106301,3.19704827936827e-96
"R05F9.13","msp-31",23.242887818137,15.5003872973252,944.029257590329,856.483832935622,1094.03817070332,51.277483173919,1.8305033179378e-95
"Y22F5A.4","lys-1",2395.37978674952,2772.67451666049,7179.1297069436,7086.7864043672,7637.50801035694,2.82109403608233,3.6812998309399e-94
"F15E11.15","pud-3",24.4526920781703,34.7744581759816,1031.20807498852,920.826563926859,1357.18004694065,36.4121850365252,3.18375176317411e-93
"Y73B6BL.24","acp-6",3717.79985629247,4521.00835728059,12620.4407030485,13067.6728883276,13814.4713175739,3.19316913784489,4.3152910181865e-91
"F36H12.7","msp-19",13.9457326908822,24.4742957326187,1055.20427675833,771.662970253592,1044.40942304036,48.0056301917855,4.97996273631414e-91
"W03G11.1","col-181",19282.354284103,21096.2651083932,56585.8270703592,54005.6576642862,59638.9671995948,2.81024198396557,1.58531313564019e-89
"K10C8.1","parn-1",787.207961043049,828.579321215399,2744.13279757389,2499.68783618905,2428.80568524645,3.16132217313636,1.58531313564019e-89
"ZK354.11","msp-59",11.6214439090685,10.6055281508014,914.318692123019,998.196737660477,1034.48367350777,89.0212462433825,1.8110207010508e-89
"R11A8.1","R11A8.1",504.710240523307,473.888382573189,1573.64555474123,1601.26342551075,1614.97737892211,3.2707666716708,9.56375116564962e-87
"F49C12.15","F49C12.15",23.1101613856823,25.263890465764,783.017330642423,663.630665536487,700.031729357527,29.4045028649036,1.5497396530461e-86
"K02B9.1","meg-1",3512.22707627703,3321.29106617798,1242.30395085231,1281.13067650452,1132.19573746401,-2.80385361605552,1.11255098136772e-84
"F55B11.1","xdh-1",636.040484761555,803.559904769543,2518.13261054122,2501.86557035446,2380.9084375275,3.40883981059446,1.95544093239396e-81
"C04G2.9","C04G2.9",27.7706474940533,16.3748240341954,664.341428816608,623.319744187698,622.427221447617,29.9496158284973,3.39628338710792e-80
"K07F5.1","msp-81",17.4321658636027,8.97390843529353,809.852510318607,737.527745027897,989.266370081528,67.3218206926257,8.32633142058506e-80
"D2005.4","D2005.4",2984.94955471623,2860.12407500543,1138.47221612604,1087.01066773254,1000.43822011743,-2.71793165216019,3.14337190612157e-78
"T05A1.2","col-122",16701.1895948312,19465.4467419259,49957.1776878907,51594.3733318748,52035.7005512148,2.83053365569031,1.01020593561506e-77
"F33H2.3","F33H2.3",838.246280404357,826.853795047116,140.428312341288,143.727484520574,188.252438785025,-5.28414222068227,6.47042422281007e-76
"F42A8.1","F42A8.1",317.539272009913,411.071511664887,1965.23938456628,1590.55978847054,1936.38999487637,4.99509609321264,7.54542186270774e-76
"F08B6.4","unc-87",4239.05729260059,4761.65530733419,11900.0521726891,11759.0885921784,12366.7303779843,2.66661338063393,1.09075212735541e-75
"K04D7.3","gta-1",3569.43294711065,4120.29953737042,10105.5765265899,9391.19098214231,10694.4842145502,2.61500364215501,2.34260101847979e-75
"T13F2.10","msp-79",15.107877081789,13.0529577240633,830.93742774702,746.837351907632,851.408737684437,58.1187534672031,3.71990588875061e-75
"C55F2.1","atic-1",699.73493962824,778.773133124864,2175.71671484568,2171.08384908621,2024.64982496112,2.86430598605343,7.63010835539053e-75
"C08B11.4","nrf-6",1545.50430894309,1765.11206626507,4050.59212508168,4128.19681564555,4122.55566341994,2.47148424612035,1.19026152488682e-74
"C33F10.9","msp-40",16.2700214726959,4.89485914652374,852.022345175434,797.522989363967,1062.05519998719,93.2016349824512,8.74945333397105e-74
"F55H12.4","F55H12.4",375.571144033144,416.340563340861,2131.56937525223,1559.76797121784,2033.30840696757,4.8088195917683,4.92188094688913e-73
