"X","N2_1","N2_2","N2_3","prg-1_1","prg-1_2","prg-1_3","mut-14 smut-1_1","mut-14 smut-1_2","mut-14 smut-1_3","prg-1 mut-14 smut-1_1","prg-1 mut-14 smut-1_2","prg-1 mut-14 smut-1_3"
"miR-50-5p",30753,24137,22133,23448,24530,18637,34981,23039,48737,37302,25276,17582
"miR-50-3p",24,35,25,46,37,26,44,25,51,40,43,15
"miR-5546-5p",0,0,0,1,0,0,0,0,0,0,0,0
"miR-5546-3p",3,1,0,0,0,0,0,1,2,0,0,0
"miR-4931",0,0,0,0,0,0,0,0,0,0,0,0
"miR-353",0,0,0,0,0,0,0,0,0,0,0,0
"miR-244-5p",1692,1345,1142,679,449,537,849,531,1245,682,567,359
"miR-244-3p",10,15,7,4,8,12,7,11,6,5,5,6
"miR-4926",1,3,1,0,0,0,1,1,0,1,1,0
"miR-235-3p",9047,10253,10156,18669,7490,13660,22921,16212,22902,17871,11477,6034
"miR-235-5p",17,13,18,14,10,19,22,12,15,16,13,15
"miR-1-3p",115495,102855,98887,118634,105670,100516,172689,125143,211342,146151,104377,92070
"miR-1-5p",93,97,86,148,19,69,101,70,104,94,39,11
"miR-4816-5p",140,135,118,84,128,118,170,172,174,162,132,102
"miR-4816-3p",84,61,49,55,57,54,118,57,107,76,97,56
"miR-245-3p",6750,5762,5343,6334,4987,3611,6534,4178,8485,6470,4825,3209
"miR-245-5p",2,0,1,0,0,3,1,1,0,3,0,0
"miR-79-3p",2359,1895,1712,3060,1449,1803,2805,1884,2393,1603,2194,1835
"miR-79-5p",96,77,83,167,66,32,76,37,95,61,53,33
"miR-1019-5p",1,0,0,0,2,0,1,0,1,2,0,0
"miR-1019-3p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-2-3p",3662,2965,2572,3678,1401,1442,2644,1741,2379,1783,1937,1467
"miR-2-5p",27,18,24,21,9,4,13,6,6,12,6,8
"miR-71-5p",91202,79164,75738,147881,84505,92799,122172,87070,177783,150238,105755,86119
"miR-71-3p",1536,1313,1185,3500,937,1099,1442,760,1564,1615,1458,689
"miR-2211-5p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-2211-3p",0,0,1,1,0,0,0,0,1,0,0,0
"miR-4932",1,0,0,0,0,0,0,0,0,0,0,0
"miR-1828",0,0,1,0,0,0,0,0,0,0,0,0
"miR-1817",135,126,118,443,224,246,439,232,240,284,338,148
"miR-5545-5p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-5545-3p",2,0,1,0,1,0,0,0,1,0,1,0
"miR-795-5p",159,178,142,256,334,224,258,164,394,510,219,238
"miR-795-3p",35,30,27,54,36,36,36,22,34,48,28,21
"miR-794-5p",185,154,146,209,132,153,208,131,210,193,186,78
"miR-794-3p",68,55,55,68,54,71,73,45,87,83,73,41
"miR-1823",7,11,6,2,3,1,4,5,12,3,1,3
"miR-1824-5p",29,11,14,14,17,9,29,12,24,8,17,16
"miR-1824-3p",0,1,1,0,0,0,0,0,0,0,0,0
"miR-2218a-5p",1,0,0,0,0,0,0,0,0,0,0,0
"miR-2218a-3p",1,0,0,1,0,0,0,0,0,0,0,0
"miR-2218b-5p",0,0,0,0,0,0,1,0,0,0,1,0
"miR-2218b-3p",1,0,1,2,0,0,1,1,2,0,1,0
"miR-1818",0,0,0,0,0,0,0,0,0,0,0,0
"miR-354",1,0,1,1,0,1,0,0,1,2,3,0
"miR-5593-5p",1,1,0,0,0,0,0,0,0,0,0,0
"miR-5593-3p",4,2,2,0,0,0,0,0,0,0,0,0
"miR-5593-5p.1",1,1,0,0,0,0,0,0,0,0,0,0
"miR-5593-3p.1",4,2,2,0,0,0,0,0,0,0,0,0
"miR-4805-5p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-4805-3p",2,4,4,0,0,0,0,0,0,2,0,2
"miR-5548-5p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-5548-3p",0,0,0,1,0,0,0,0,0,0,0,0
"miR-72-5p",396882,184773,156956,178134,152438,129294,182572,123117,261140,207300,138052,128140
"miR-72-3p",305,140,119,175,68,118,105,65,103,66,50,38
"miR-260",1681,1978,1552,2330,1424,858,158,97,493,145,115,139
"miR-1830-5p",3,6,2,5,7,8,14,9,7,9,10,1
"miR-1830-3p",74,54,63,109,79,61,143,113,109,165,87,70
"lin-4-5p",23485,18915,17684,47104,37778,34756,24506,14366,52948,47167,43660,30854
"lin-4-3p",4,4,2,2,1,1,0,1,1,1,1,0
"miR-261",0,0,0,0,0,0,0,0,0,0,0,0
"miR-1822-5p",11,14,9,6,8,3,8,3,13,7,14,6
"miR-1822-3p",1150,628,799,402,652,670,1028,644,952,747,694,705
"miR-60-5p",17,28,23,19,15,12,13,9,25,12,27,10
"miR-60-3p",5512,5048,4417,5055,4050,6402,8948,5571,7283,5024,8110,4193
"miR-2953-5p",1,1,1,0,1,0,1,0,2,1,1,0
"miR-2953-3p",31,36,24,37,39,22,68,43,51,64,42,31
"miR-236-3p",9346,7961,8234,6657,7407,5546,12578,7326,11045,7826,8182,5132
"miR-236-5p",33,31,20,13,16,10,14,2,12,13,13,6
"miR-57-5p",27450,22162,17459,16766,19089,10963,21097,13899,32489,27698,16860,17018
"miR-57-3p",74,63,57,43,21,16,20,13,40,40,20,19
"miR-85-3p",6216,6562,5438,13063,10755,10419,17400,11827,14381,16854,11544,9850
"miR-85-5p",1,1,5,9,8,1,3,2,6,5,6,5
"miR-2216-5p",0,2,3,2,0,2,1,1,6,8,2,0
"miR-2216-3p",1,0,0,1,2,1,2,1,0,1,2,0
"miR-252-5p",2857,2304,2057,2287,2369,3022,3471,2381,2560,3329,2354,1964
"miR-252-3p",7,7,2,7,1,2,3,1,2,5,5,1
"miR-35-3p",131514,158553,121959,147341,119289,103408,122051,81249,213759,179373,135035,109856
"miR-35-5p",24,14,7,9,3,13,7,2,4,4,10,9
"miR-36-3p",22415,28277,22687,28359,18660,21526,20543,13384,32102,27917,23411,19073
"miR-36-5p",81,93,68,81,64,60,73,40,44,84,71,37
"miR-37-5p",27,31,18,12,28,16,10,7,11,22,12,11
"miR-37-3p",101679,128256,100722,153701,110874,105266,102173,68083,164811,150326,118691,105402
"miR-38-3p",6473,9757,7820,9192,6773,4457,6043,3661,12740,8705,6418,6375
"miR-38-5p",3,4,2,7,6,1,8,4,1,3,2,4
"miR-39-3p",159796,189277,153254,198383,141230,132827,137515,94448,252638,207698,151051,127775
"miR-39-5p",1018,1243,1130,838,791,513,554,307,784,955,917,488
"miR-40-3p",40146,46817,37713,42420,38247,32270,36949,21946,67581,50871,38852,27569
"miR-40-5p",524,584,521,412,315,270,268,191,280,392,405,313
"miR-41-3p",999,578,902,802,478,827,831,473,811,621,1056,903
"miR-41-5p",1692,1738,1456,1229,1936,1630,1291,764,1702,2252,1999,1696
"miR-2207-5p",2,0,0,0,0,0,0,0,0,2,1,0
"miR-2207-3p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-355",1581,1527,1319,1194,1416,1739,1726,915,2332,2018,2039,1617
"miR-5594-5p",2,1,1,2,1,1,1,0,2,1,0,1
"miR-5594-3p",17,21,21,24,22,14,46,36,59,25,22,13
"miR-45-3p",64646,53992,45993,36845,32677,26505,44772,31518,67690,37662,38488,33388
"miR-45-5p",1153,1063,1023,1332,693,490,717,430,1066,1003,683,389
"miR-42-5p",49,42,21,24,19,18,20,2,30,35,16,25
"miR-42-3p",4882,5612,3848,3554,2079,1513,2027,1100,7022,2593,2280,1911
"miR-43-3p",201,161,162,95,57,52,54,34,116,45,74,52
"miR-43-5p",3,8,7,6,3,4,0,3,3,4,5,4
"miR-44-3p",64600,53956,45961,36840,32646,26485,44732,31484,67626,37596,38450,33357
"miR-44-5p",1007,1128,934,732,464,264,326,194,743,648,493,374
"miR-5547-5p",0,3,2,1,0,2,2,2,3,2,2,2
"miR-5547-3p",0,0,0,0,0,0,0,0,0,0,0,0
"miR-4806-5p",15,22,14,11,25,14,28,12,25,62,15,16
