Gene_ID,Public_Name,Class,Targets,
WBGene00000001,aap-1,unk,WBGene00000001,
WBGene00000002,aat-1,unk,WBGene00000002,
WBGene00000003,aat-2,unk,WBGene00000003,
WBGene00000004,aat-3,unk,WBGene00000004,
WBGene00000005,aat-4,unk,WBGene00000005,
WBGene00000006,aat-5,unk,WBGene00000006,
WBGene00000007,aat-6,unk,WBGene00000007,
WBGene00000008,aat-7,unk,WBGene00000008,
WBGene00000009,aat-8,unk,WBGene00000009,
WBGene00000010,aat-9,CSR,WBGene00000010,
WBGene00000012,abf-1,unk,WBGene00000012,
WBGene00000013,abf-2,unk,WBGene00000013,
WBGene00000014,abf-3,unk,WBGene00000014,
WBGene00000015,abf-4,unk,WBGene00000015,
WBGene00000016,abf-5,unk,WBGene00000016,
WBGene00000017,abf-6,unk,WBGene00000017,
WBGene00000018,abl-1,CSR,WBGene00000018,
WBGene00000019,abt-1,ALG,WBGene00000019,
WBGene00000020,abt-2,unk,WBGene00000020,
WBGene00000021,abt-3,unk,WBGene00000021,
WBGene00000022,abt-4,WAGO,WBGene00000022,
WBGene00000023,abt-5,ALG,WBGene00000023,
WBGene00000024,abu-1,unk,WBGene00000024,
WBGene00000025,abu-2,unk,WBGene00000025,
WBGene00000026,abu-3,unk,WBGene00000026,
WBGene00000027,abu-4,unk,WBGene00000027,
WBGene00000028,abu-5,unk,WBGene00000028,
WBGene00000029,abu-6,unk,WBGene00000029,
WBGene00000030,abu-7,unk,WBGene00000030,
WBGene00000031,abu-8,unk,WBGene00000031,
WBGene00000032,abu-9,unk,WBGene00000032,
WBGene00000033,abu-10,unk,WBGene00000033,
WBGene00000034,abu-11,WAGO,WBGene00000034,
WBGene00000035,ace-1,unk,WBGene00000035,
WBGene00000036,ace-2,unk,WBGene00000036,
WBGene00000037,ace-3,unk,WBGene00000037,
WBGene00000038,ace-4,unk,WBGene00000038,
WBGene00000039,acn-1,unk,WBGene00000039,
WBGene00000040,aco-1,CSR,WBGene00000040,
WBGene00000041,aco-2,ALG,WBGene00000041,
WBGene00000042,acr-2,unk,WBGene00000042,
WBGene00000043,acr-3,unk,WBGene00000043,
WBGene00000044,acr-5,unk,WBGene00000044,
WBGene00000045,acr-6,unk,WBGene00000045,
WBGene00000046,acr-7,unk,WBGene00000046,
WBGene00000047,acr-8,unk,WBGene00000047,
WBGene00000048,acr-9,unk,WBGene00000048,
WBGene00000049,acr-10,unk,WBGene00000049,
WBGene00000050,acr-11,unk,WBGene00000050,
WBGene00000051,acr-12,unk,WBGene00000051,
WBGene00000053,acr-14,unk,WBGene00000053,
WBGene00000054,acr-15,unk,WBGene00000054,
WBGene00000055,acr-16,unk,WBGene00000055,
WBGene00000056,acr-17,unk,WBGene00000056,
WBGene00000057,acr-18,unk,WBGene00000057,
WBGene00000058,acr-19,unk,WBGene00000058,
WBGene00000059,acr-20,unk,WBGene00000059,
WBGene00000060,acr-21,unk,WBGene00000060,
WBGene00000061,lgc-11,unk,WBGene00000061,
WBGene00000062,acr-23,unk,WBGene00000062,
WBGene00000063,act-1,ALG,WBGene00000063,
WBGene00000064,act-2,ALG,WBGene00000064,
WBGene00000065,act-3,ALG,WBGene00000065,
WBGene00000066,act-4,CSR,WBGene00000066,
WBGene00000067,act-5,unk,WBGene00000067,
WBGene00000068,acy-1,unk,WBGene00000068,
WBGene00000069,acy-2,unk,WBGene00000069,
WBGene00000070,acy-3,unk,WBGene00000070,
WBGene00000071,acy-4,unk,WBGene00000071,
WBGene00000072,add-1,unk,WBGene00000072,
WBGene00000073,add-2,unk,WBGene00000073,
WBGene00000074,adm-2,CSR,WBGene00000074,
WBGene00000075,adm-4,WAGO,WBGene00000075,
WBGene00000079,adr-1,CSR,WBGene00000079,
WBGene00000080,adr-2,CSR,WBGene00000080,
WBGene00000081,ads-1,WAGO,WBGene00000081,
WBGene00000082,adt-1,unk,WBGene00000082,
WBGene00000083,adt-2,unk,WBGene00000083,
WBGene00000084,aex-1,unk,WBGene00000084,
WBGene00000085,aex-2,unk,WBGene00000085,
WBGene00000086,aex-3,unk,WBGene00000086,
WBGene00000088,aex-5,unk,WBGene00000088,
WBGene00000089,aex-6,WAGO,WBGene00000089,
WBGene00000090,age-1,CSR,WBGene00000090,
WBGene00000092,ags-3,unk,WBGene00000092,
WBGene00000093,agt-1,CSR,WBGene00000093,
WBGene00000094,agt-2,CSR,WBGene00000094,
WBGene00000095,aha-1,unk,WBGene00000095,
WBGene00000096,ahr-1,unk,WBGene00000096,
WBGene00000097,aip-1,CSR,WBGene00000097,
WBGene00000098,air-1,ALG,WBGene00000098,
WBGene00000099,air-2,CSR,WBGene00000099,
WBGene00000100,ajm-1,unk,WBGene00000100,
WBGene00000101,aka-1,CSR,WBGene00000101,
WBGene00000102,akt-1,CSR,WBGene00000102,
WBGene00000103,akt-2,unk,WBGene00000103,
WBGene00000105,alg-1,WAGO,WBGene00000105,
WBGene00000106,alg-2,CSR,WBGene00000106,
WBGene00000107,alh-1,CSR,WBGene00000107,
WBGene00000108,alh-2,unk,WBGene00000108,
WBGene00000109,alh-3,CSR,WBGene00000109,
WBGene00000110,alh-4,unk,WBGene00000110,
WBGene00000111,alh-5,unk,WBGene00000111,
WBGene00000112,alh-6,unk,WBGene00000112,
WBGene00000113,alh-7,unk,WBGene00000113,
WBGene00000114,alh-8,ALG,WBGene00000114,
WBGene00000115,alh-9,CSR,WBGene00000115,
WBGene00000116,alh-10,unk,WBGene00000116,
WBGene00000117,alh-11,unk,WBGene00000117,
WBGene00000118,alh-12,unk,WBGene00000118,
WBGene00000120,aly-1,unk,WBGene00000120,
WBGene00000121,aly-2,CSR,WBGene00000121,
WBGene00000122,aly-3,CSR,WBGene00000122,
WBGene00000123,ama-1,CSR,WBGene00000123,
WBGene00000133,amt-1,unk,WBGene00000133,
WBGene00000134,amt-2,unk,WBGene00000134,
WBGene00000135,amt-3,unk,WBGene00000135,
WBGene00000136,amt-4,unk,WBGene00000136,
WBGene00000137,amx-1,CSR,WBGene00000137,
WBGene00000138,amx-2,unk,WBGene00000138,
WBGene00000139,amx-3,unk,WBGene00000139,
WBGene00000140,anc-1,WAGO,WBGene00000140,
WBGene00000142,aos-1,CSR,WBGene00000142,
WBGene00000143,apc-2,CSR,WBGene00000143,
WBGene00000144,apc-10,CSR,WBGene00000144,
WBGene00000145,apc-11,CSR,WBGene00000145,
WBGene00000146,ape-1,CSR,WBGene00000146,
WBGene00000147,aph-1,unk,WBGene00000147,
WBGene00000148,aph-2,CSR,WBGene00000148,
WBGene00000149,apl-1,unk,WBGene00000149,
WBGene00000150,apm-1,ALG,WBGene00000150,
WBGene00000151,apn-1,CSR,WBGene00000151,
WBGene00000155,app-1,CSR,WBGene00000155,
WBGene00000156,1-Apr,CSR,WBGene00000156,
WBGene00000157,aps-2,unk,WBGene00000157,
WBGene00000158,apg-1,CSR,WBGene00000158,
WBGene00000159,aps-1,unk,WBGene00000159,
WBGene00000160,apb-1,CSR,WBGene00000160,
WBGene00000161,apa-2,CSR,WBGene00000161,
WBGene00000162,apd-3,CSR,WBGene00000162,
WBGene00000163,apb-3,CSR,WBGene00000163,
WBGene00000164,apm-3,unk,WBGene00000164,
WBGene00000165,aps-3,unk,WBGene00000165,
WBGene00000166,apt-9,unk,WBGene00000166,
WBGene00000168,apx-1,CSR,WBGene00000168,
WBGene00000169,aqp-1,unk,WBGene00000169,
WBGene00000170,aqp-2,unk,WBGene00000170,
WBGene00000171,aqp-3,unk,WBGene00000171,
WBGene00000172,aqp-4,unk,WBGene00000172,
WBGene00000173,aqp-5,unk,WBGene00000173,
WBGene00000174,aqp-6,unk,WBGene00000174,
WBGene00000175,aqp-7,unk,WBGene00000175,
WBGene00000176,aqp-8,unk,WBGene00000176,
WBGene00000177,aqp-9,WAGO,WBGene00000177,
WBGene00000178,aqp-10,WAGO,WBGene00000178,
WBGene00000179,aqp-11,unk,WBGene00000179,
WBGene00000180,arc-1,unk,WBGene00000180,
WBGene00000181,ard-1,CSR,WBGene00000181,
WBGene00000182,arf-1,ALG,WBGene00000182,
WBGene00000183,arf-5,CSR,WBGene00000183,
WBGene00000184,arf-6,CSR,WBGene00000184,
WBGene00000185,arg-1,unk,WBGene00000185,
WBGene00000186,ark-1,unk,WBGene00000186,
WBGene00000187,arl-1,ALG,WBGene00000187,
WBGene00000188,arl-3,unk,WBGene00000188,
WBGene00000189,arl-5,CSR,WBGene00000189,
WBGene00000190,warf-1,unk,WBGene00000190,
WBGene00000191,arl-7,unk,WBGene00000191,
WBGene00000192,arl-8,unk,WBGene00000192,
WBGene00000193,arl-6,unk,WBGene00000193,
WBGene00000195,arr-1,CSR,WBGene00000195,
WBGene00000196,aars-1,unk,WBGene00000196,
WBGene00000197,aars-2,CSR,WBGene00000197,
WBGene00000198,art-1,ALG,WBGene00000198,
WBGene00000199,arx-1,CSR,WBGene00000199,
WBGene00000200,arx-2,unk,WBGene00000200,
WBGene00000201,arx-3,CSR,WBGene00000201,
WBGene00000202,exos-4.2,unk,WBGene00000202,
WBGene00000203,arx-5,CSR,WBGene00000203,
WBGene00000204,arx-6,CSR,WBGene00000204,
WBGene00000205,arx-7,CSR,WBGene00000205,
WBGene00000206,asb-1,CSR,WBGene00000206,
WBGene00000207,asb-2,WAGO,WBGene00000207,
WBGene00000208,trip-4,CSR,WBGene00000208,
WBGene00000209,asg-1,CSR,WBGene00000209,
WBGene00000210,asg-2,unk,WBGene00000210,
WBGene00000211,asm-1,unk,WBGene00000211,
WBGene00000212,asm-2,unk,WBGene00000212,
WBGene00000213,asm-3,unk,WBGene00000213,
WBGene00000214,asp-1,CSR,WBGene00000214,
WBGene00000215,asp-2,unk,WBGene00000215,
WBGene00000216,asp-3,unk,WBGene00000216,
WBGene00000217,asp-4,unk,WBGene00000217,
WBGene00000218,asp-5,unk,WBGene00000218,
WBGene00000219,asp-6,unk,WBGene00000219,
WBGene00000220,atf-2,unk,WBGene00000220,
WBGene00000221,atf-4,WAGO,WBGene00000221,
WBGene00000222,atf-6,WAGO,WBGene00000222,
WBGene00000223,atf-7,CSR,WBGene00000223,
WBGene00000224,atgp-1,WAGO,WBGene00000224,
WBGene00000225,atgp-2,unk,WBGene00000225,
WBGene00000226,atl-1,CSR,WBGene00000226,
WBGene00000227,atm-1,CSR,WBGene00000227,
WBGene00000228,atn-1,unk,WBGene00000228,
WBGene00000229,atp-2,ALG,WBGene00000229,
WBGene00000230,atp-3,ALG,WBGene00000230,
WBGene00000231,atx-2,CSR,WBGene00000231,
WBGene00000232,avr-14,unk,WBGene00000232,
WBGene00000233,avr-15,unk,WBGene00000233,
WBGene00000235,baf-1,CSR,WBGene00000235,
WBGene00000236,bag-1,unk,WBGene00000236,
WBGene00000237,bam-2,WAGO,WBGene00000237,
WBGene00000238,bar-1,unk,WBGene00000238,
WBGene00000239,bas-1,unk,WBGene00000239,
WBGene00000240,pah-1,unk,WBGene00000240,
WBGene00000241,bbs-1,unk,WBGene00000241,
WBGene00000242,bbs-2,unk,WBGene00000242,
WBGene00000244,bbs-8,unk,WBGene00000244,
WBGene00000245,bca-1,unk,WBGene00000245,
WBGene00000246,bcc-1,unk,WBGene00000246,
WBGene00000247,bec-1,CSR,WBGene00000247,
WBGene00000248,ben-1,unk,WBGene00000248,
WBGene00000249,bir-1,CSR,WBGene00000249,
WBGene00000250,bir-2,unk,WBGene00000250,
WBGene00000251,bli-1,unk,WBGene00000251,
WBGene00000252,bli-2,unk,WBGene00000252,
WBGene00000253,bli-3,unk,WBGene00000253,
WBGene00000254,bli-4,unk,WBGene00000254,
WBGene00000255,bli-5,unk,WBGene00000255,
WBGene00000256,bli-6,unk,WBGene00000256,
WBGene00000257,bmk-1,ALG,WBGene00000257,
WBGene00000259,bpl-1,unk,WBGene00000259,
WBGene00000262,bra-1,WAGO,WBGene00000262,
WBGene00000263,F23H11.5,ALG,WBGene00000263,
WBGene00000264,brc-1,CSR,WBGene00000264,
WBGene00000265,brd-1,CSR,WBGene00000265,
WBGene00000266,bre-1,ALG,WBGene00000266,
WBGene00000267,bre-2,WAGO,WBGene00000267,
WBGene00000268,bre-3,ALG,WBGene00000268,
WBGene00000269,bre-4,ALG,WBGene00000269,
WBGene00000270,bre-5,WAGO,WBGene00000270,
WBGene00000271,brf-1,CSR,WBGene00000271,
WBGene00000272,bro-1,unk,WBGene00000272,
WBGene00000273,brp-1,unk,WBGene00000273,
WBGene00000274,btf-1,CSR,WBGene00000274,
WBGene00000275,bub-1,ALG,WBGene00000275,
WBGene00000276,byn-1,CSR,WBGene00000276,
