gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
WBGene00000001	Y110A7A.10.1	1806.00	1672.16	2564.00	61.09	68.77
WBGene00000002	F27C8.1.1	1739.00	1605.16	143.00	3.55	4.00
WBGene00000003	F07C3.7.1	1738.00	1604.16	142.00	3.53	3.97
WBGene00000004	F52H2.2a.1,F52H2.2b.1	1753.44	1619.59	422.15	10.38	11.69
WBGene00000005	T13A10.10a.1,T13A10.10b	1804.00	1670.16	164.00	3.91	4.40
WBGene00000006	C55C2.5a.1,C55C2.5b,C55C2.5c,C55C2.5d	1831.20	1697.35	241.00	5.66	6.37
WBGene00000007	T11F9.4a.1,T11F9.4b.1	1765.00	1631.16	134.00	3.27	3.68
WBGene00000008	F54D12.3.1	1593.00	1459.16	25.00	0.68	0.77
WBGene00000009	F28F9.4.1	1562.00	1428.16	20.00	0.56	0.63
WBGene00000010	Y53H1C.1a.1,Y53H1C.1b.1	2072.03	1938.18	809.00	16.63	18.72
WBGene00000012	C50F2.9.1	314.00	180.50	1.00	0.22	0.25
WBGene00000013	C50F2.10.1	258.00	125.55	4.00	1.27	1.43
WBGene00000014	F54B8.5.1	270.00	137.20	0.00	0.00	0.00
WBGene00000015	Y38H6C.22.1	441.00	307.17	2.00	0.26	0.29
WBGene00000016	T22H6.5.1	479.00	345.16	58.00	6.69	7.54
WBGene00000017	T22H6.7.1	702.00	568.16	131.00	9.19	10.34
WBGene00000018	M79.1a.1,M79.1b.1,M79.1c.1,M79.1d.1,M79.1e.1	4081.54	3947.70	1083.00	10.93	12.30
WBGene00000019	C24F3.5a.1,C24F3.5b.1	4440.00	4306.16	10.00	0.09	0.10
WBGene00000020	F12B6.1a.1,F12B6.1b.1	6672.00	6538.16	401.00	2.44	2.75
WBGene00000021	F55G11.9	4538.00	4404.16	0.00	0.00	0.00
WBGene00000022	Y39D8C.1.1	5543.00	5409.16	763.00	5.62	6.33
WBGene00000023	Y53C10A.9.1	4875.00	4741.16	21.00	0.18	0.20
WBGene00000024	AC3.3.1	1405.00	1271.16	7.00	0.22	0.25
WBGene00000025	F19G12.7.1	1719.00	1585.16	0.00	0.00	0.00
WBGene00000026	F31A3.1	981.00	847.16	0.00	0.00	0.00
WBGene00000027	Y5H2A.3.1	1060.00	926.16	2.00	0.09	0.10
WBGene00000028	Y105C5A.4.1	1008.00	874.16	0.00	0.00	0.00
WBGene00000029	C03A7.7.1	1167.00	1033.16	0.00	0.00	0.00
WBGene00000030	C03A7.8.1	1466.00	1332.16	0.00	0.00	0.00
WBGene00000031	C03A7.14.1	1523.00	1389.16	39.00	1.12	1.26
WBGene00000032	R09F10.2.1	1137.00	1003.16	3.00	0.12	0.13
WBGene00000033	F35A5.3.1	1268.00	1134.16	57.00	2.00	2.25
WBGene00000034	T01D1.6.1	1295.00	1161.16	34.00	1.17	1.31
WBGene00000035	W09B12.1.1	2468.00	2334.16	207.00	3.53	3.98
WBGene00000036	Y44E3A.2.1,Y44E3A.2.2	2857.32	2723.48	365.00	5.34	6.01
WBGene00000037	Y48B6A.8.1	2200.00	2066.16	260.00	5.01	5.64
WBGene00000038	Y48B6A.7.1	2065.00	1931.16	16.00	0.33	0.37
WBGene00000039	C42D8.5.1	3082.00	2948.16	681.00	9.20	10.36
WBGene00000040	ZK455.1.1	2831.00	2697.16	4472.00	66.06	74.36
WBGene00000041	F54H12.1a.1,F54H12.1c.1,F54H12.1c.2,F54H12.1c.3	2563.36	2429.51	21015.00	344.61	387.95
WBGene00000042	K11G12.2.1	2037.00	1903.16	27.00	0.57	0.64
WBGene00000043	K11G12.7.1	1659.00	1525.16	13.00	0.34	0.38
WBGene00000044	K03F8.2.1	2059.00	1925.16	28.00	0.58	0.65
WBGene00000045	ZK973.5.1	1666.00	1532.16	5.00	0.13	0.15
WBGene00000046	T09A5.3.1	1723.00	1589.16	26.00	0.65	0.73
WBGene00000047	ZC504.2.1,ZC504.2.2	1810.00	1676.16	73.00	1.74	1.95
WBGene00000048	C40C9.2.1	1944.00	1810.16	29.00	0.64	0.72
WBGene00000049	R02E12.8.1	1743.00	1609.16	8.00	0.20	0.22
WBGene00000050	D2092.3.1	1473.00	1339.16	22.00	0.65	0.74
WBGene00000051	R01E6.4a.1,R01E6.4b.1	1959.91	1826.07	48.00	1.05	1.18
WBGene00000053	T05C12.2.1	1503.00	1369.16	2.00	0.06	0.07
WBGene00000054	F25G6.4.1	1501.00	1367.16	69.00	2.01	2.26
WBGene00000055	F25G6.3.1	1822.00	1688.16	52.00	1.23	1.38
WBGene00000056	F53E10.2a,F53E10.2b.1,F53E10.2c,F53E10.2d,F53E10.2e,F53E10.2f,F53E10.2g.1,F53E10.2h.1,F53E10.2i.1	211.23	101.37	17.00	6.68	7.52
WBGene00000057	F28F8.1.1	1615.00	1481.16	54.00	1.45	1.64
WBGene00000058	C31H5.3a.1,C31H5.3b.1	1897.00	1763.16	58.00	1.31	1.48
WBGene00000059	R06A4.10a.1,R06A4.10b.1,R06A4.10c.1	1814.00	1680.16	33.00	0.78	0.88
WBGene00000060	F27B3.2a.1,F27B3.2b.1,F27B3.2c.1,F27B3.2d.1	1893.38	1759.54	21.00	0.48	0.54
WBGene00000061	F48E3.7.1	1478.00	1344.16	17.00	0.50	0.57
WBGene00000062	F59B1.9a.1,F59B1.9b.1	1695.00	1561.16	8.00	0.20	0.23
WBGene00000063	T04C12.6.1	1264.00	1130.16	11815.21	416.51	468.89
WBGene00000064	T04C12.5.1	1281.00	1147.16	20694.55	718.71	809.09
WBGene00000065	T04C12.4.1,T04C12.4.2,T04C12.4.3	1491.20	1357.35	16657.16	488.91	550.39
WBGene00000066	M03F4.2a.1,M03F4.2b.1	1510.15	1376.31	7868.01	227.76	256.40
WBGene00000067	T25C8.2.1	1270.00	1136.16	5865.08	205.66	231.53
WBGene00000068	F17C8.1.1	4234.00	4100.16	315.00	3.06	3.45
WBGene00000069	C10F3.3.1	3313.00	3179.16	60.00	0.75	0.85
WBGene00000070	C44F1.5.1	4040.00	3906.16	283.00	2.89	3.25
WBGene00000071	T01C2.1.1	3265.00	3131.16	237.00	3.02	3.39
WBGene00000072	F39C12.2a.1,F39C12.2b.1,F39C12.2c.1,F39C12.2d.1,F39C12.2e.1	2474.14	2340.29	186.00	3.17	3.56
WBGene00000073	F57F5.4a.1,F57F5.4b.1	1913.08	1779.23	703.00	15.74	17.72
WBGene00000074	C04A11.4a.1,C04A11.4b.1	3257.81	3123.97	282.00	3.60	4.05
WBGene00000075	ZK154.7.1	2522.00	2388.16	803.00	13.40	15.08
WBGene00000079	H15N14.1c.1,H15N14.1d.1,H15N14.1e.1,H15N14.1f.1,H15N14.1g.1	2640.77	2506.95	4833.06	76.81	86.47
WBGene00000080	T20H4.4.1	1622.00	1488.16	2777.00	74.34	83.69
WBGene00000081	Y50D7A.7.1	1879.00	1745.16	2412.00	55.06	61.99
WBGene00000082	C02B4.1a.1,C02B4.1b.1	4802.00	4668.16	146.00	1.25	1.40
WBGene00000083	F08C6.1a.1,F08C6.1b.1,F08C6.1c.1	3688.87	3555.02	847.00	9.49	10.69
WBGene00000084	D2030.10a.1,D2030.10b.1	3224.79	3090.94	324.00	4.18	4.70
WBGene00000085	T14B1.2.1	1220.00	1086.16	38.00	1.39	1.57
WBGene00000086	C02H7.3a.1,C02H7.3b.1	4554.99	4421.15	323.00	2.91	3.28
WBGene00000088	F32A7.6.1	1798.00	1664.16	306.00	7.33	8.25
WBGene00000089	Y87G2A.4.1	972.00	838.16	109.00	5.18	5.83
WBGene00000090	B0334.8a.1,B0334.8b.1	3175.14	3041.84	4178.00	54.72	61.60
WBGene00000092	F32A6.4a.1,F32A6.4a.2,F32A6.4b,F32A6.4c,F32A6.4d.1,F32A6.4e.1,F32A6.4f.1,F32A6.4f.2,F32A6.4f.3,F32A6.4f.4,F32A6.4f.5,F32A6.4g.1	1870.41	1736.57	791.00	18.15	20.43
WBGene00000093	Y62E10A.5a.1,Y62E10A.5b.1	708.00	574.16	500.00	34.69	39.06
WBGene00000094	F09E5.13.1	1463.00	1329.16	629.00	18.85	21.22
WBGene00000095	C25A1.11.1	1603.00	1469.16	768.00	20.83	23.45
WBGene00000096	C41G7.5a.1,C41G7.5b.1	1786.43	1652.58	16.00	0.39	0.43
WBGene00000097	F58E10.4.1	1059.00	925.16	832.00	35.83	40.33
WBGene00000098	K07C11.2.1	1338.00	1204.16	6243.00	206.55	232.53
WBGene00000099	B0207.4.1,B0207.4.2	1125.44	991.59	2587.00	103.94	117.01
WBGene00000100	C25A11.4a.1,C25A11.4a.2,C25A11.4a.3,C25A11.4a.4,C25A11.4b.1,C25A11.4c.1,C25A11.4d.1,C25A11.4e.1,C25A11.4f.1,C25A11.4g.1,C25A11.4h.1,C25A11.4i.1,C25A11.4j.1,C25A11.4k.1,C25A11.4l.1,C25A11.4m.1	4934.09	4800.25	1990.00	16.52	18.59
WBGene00000101	D1022.7a.1,D1022.7b.1,D1022.7c.1	4270.57	4136.72	11181.00	107.68	121.22
WBGene00000102	C12D8.10a.1,C12D8.10b.1,C12D8.10c.1	2070.38	1936.53	7463.00	153.53	172.84
WBGene00000103	F28H6.1a.1,F28H6.1b.1	2009.91	1876.07	368.00	7.81	8.80
WBGene00000105	F48F7.1a.1,F48F7.1a.2,F48F7.1a.3,F48F7.1b.1	3856.82	3722.98	663.00	7.09	7.99
