"Feature.ID","Feature.Name","Feature.Class","wt_rep_1","wt_rep_2","piwi_rep_1","piwi_rep_2"
"Gene:WBGene00000001","Y110A7A.10, aap-1","unk",928.25,959.5,222,314
"Gene:WBGene00000002","F27C8.1, aat-1","unk",1,0,0,0.12
"Gene:WBGene00000003","F07C3.7, aat-2","unk",5,5,2,0
"Gene:WBGene00000004","F52H2.2, aat-3","unk",204.45,222.39,177.2,210.13
"Gene:WBGene00000005","T13A10.10, aat-4","unk",11,7.5,2,4
"Gene:WBGene00000006","C55C2.5, aat-5","unk",5.38,13.13,0.7,3.83
"Gene:WBGene00000007","T11F9.4, aat-6","unk",23,16,3.61,7
"Gene:WBGene00000008","F54D12.3, aat-7","unk",11.48,14.08,4.06,3.06
"Gene:WBGene00000009","F28F9.4, aat-8","unk",3.12,3,6,8.5
"Gene:WBGene00000010","Y53H1C.1, aat-9","CSR",227.35,242,212.5,267
"Gene:WBGene00000012","C50F2.9, abf-1","unk",1.01,0.5,0.82,0.97
"Gene:WBGene00000013","C50F2.10, abf-2","unk",0,1,0,0
"Gene:WBGene00000014","F54B8.5, abf-3","unk",1,0,0,0
"Gene:WBGene00000015","Y38H6C.22, abf-4","unk",0,0,0,0
"Gene:WBGene00000016","T22H6.5, abf-5","unk",0,0,0.5,0
"Gene:WBGene00000017","T22H6.7, abf-6","unk",0.5,0,0,0
"Gene:WBGene00000018","M79.1, abl-1","CSR",57.95,57.41,28.36,37.74
"Gene:WBGene00000019","C24F3.5, abt-1","ALG",0,1,8,9
"Gene:WBGene00000020","F12B6.1, abt-2","unk",209.76,264.56,160.01,181.02
"Gene:WBGene00000021","F55G11.9, abt-3","unk",8,8.01,2.01,1.02
"Gene:WBGene00000022","Y39D8C.1, abt-4","WAGO",52,41,63,39.5
"Gene:WBGene00000023","Y53C10A.9, abt-5","ALG",1,2,12,20
"Gene:WBGene00000024","AC3.3, abu-1","unk",2.71,0.28,0.5,2
"Gene:WBGene00000025","F19G12.7, abu-2","unk",3.17,3.11,1,0.67
"Gene:WBGene00000026","F31A3.1, abu-3","unk",3.75,0,0,2
"Gene:WBGene00000027","Y5H2A.3, abu-4","unk",0.5,1.25,4,0.83
"Gene:WBGene00000028","Y105C5A.4, abu-5","unk",1.12,3.16,0.25,0
"Gene:WBGene00000029","C03A7.7, abu-6","unk",1.69,1.92,2.21,3.78
"Gene:WBGene00000030","C03A7.8, abu-7","unk",2.72,1.08,3.33,6.48
"Gene:WBGene00000031","C03A7.14, abu-8","unk",13.07,14.92,35.83,42.82
"Gene:WBGene00000032","R09F10.2, abu-9","unk",1.5,0.17,2.83,0.75
"Gene:WBGene00000033","F35A5.3, abu-10","unk",0.5,0.5,0,0.25
"Gene:WBGene00000034","T01D1.6, abu-11","WAGO",0.5,1,0,0
"Gene:WBGene00000035","W09B12.1, ace-1","unk",86.84,102.76,110.45,115.43
"Gene:WBGene00000036","Y44E3A.2, ace-2","unk",15.25,17.09,4.77,15.49
"Gene:WBGene00000037","Y48B6A.8, ace-3","unk",13.83,18.44,10.44,10.08
"Gene:WBGene00000038","Y48B6A.7, ace-4","unk",25.53,41.66,7.83,4.37
"Gene:WBGene00000039","C42D8.5, acn-1","unk",142.67,129,6.5,14.17
"Gene:WBGene00000040","ZK455.1, aco-1","CSR",73,68,124,203
"Gene:WBGene00000041","F54H12.1, aco-2","ALG",1398,1383.5,548.5,609
"Gene:WBGene00000042","K11G12.2, acr-2","unk",4.51,1.5,0.26,1.19
"Gene:WBGene00000043","K11G12.7, acr-3","unk",0,4.5,0,2
"Gene:WBGene00000044","K03F8.2, acr-5","unk",75.4,62.58,37.76,54.25
"Gene:WBGene00000045","ZK973.5, acr-6","unk",25.31,20.27,1.17,3.18
"Gene:WBGene00000046","T09A5.3, acr-7","unk",77.5,70,36.5,42
"Gene:WBGene00000047","ZC504.2, acr-8","unk",1,2,8,6.5
"Gene:WBGene00000048","C40C9.2, acr-9","unk",164,187.14,0.85,4.5
"Gene:WBGene00000049","R02E12.8, acr-10","unk",0.37,5.23,9.67,9.52
"Gene:WBGene00000050","D2092.3, acr-11","unk",12,21.44,14.02,24.21
"Gene:WBGene00000051","R01E6.4, acr-12","unk",3,3,2,3.03
"Gene:WBGene00000053","T05C12.2, acr-14","unk",1,1.94,1,3.5
"Gene:WBGene00000054","F25G6.4, acr-15","unk",1.5,0.03,0,0
"Gene:WBGene00000055","F25G6.3, acr-16","unk",43.62,26.25,6.33,30.53
"Gene:WBGene00000056","F53E10.2, acr-17","unk",163.55,142.8,28.21,40.1
"Gene:WBGene00000057","F28F8.1, acr-18","unk",571.91,591.16,283.39,351.96
"Gene:WBGene00000058","C31H5.3, acr-19","unk",1.2,0.5,0.5,0.33
"Gene:WBGene00000059","R06A4.10, acr-20","unk",42.85,42.8,29.01,46.37
"Gene:WBGene00000060","F27B3.2, acr-21","unk",1.83,2.33,3.39,0.79
"Gene:WBGene00000061","F48E3.7, lgc-11","unk",1.14,0,0,0
"Gene:WBGene00000062","F59B1.9, acr-23","unk",23.15,16.72,1.15,4.02
"Gene:WBGene00000063","T04C12.6, act-1","ALG",2.37,1.33,2.5,8.83
"Gene:WBGene00000064","T04C12.5, act-2","ALG",672.3,637.35,407.18,387.82
"Gene:WBGene00000065","T04C12.4, act-3","ALG",323.22,294.35,196.81,242.32
"Gene:WBGene00000066","M03F4.2, act-4","CSR",113.56,100.33,62.91,75.77
"Gene:WBGene00000067","T25C8.2, act-5","unk",43.73,56.18,23.88,26.87
"Gene:WBGene00000068","F17C8.1, acy-1","unk",207.13,222.9,2.61,12.57
"Gene:WBGene00000069","C10F3.3, acy-2","unk",6,13,2.5,2
"Gene:WBGene00000070","C44F1.5, acy-3","unk",42.34,49.22,47.61,52.17
"Gene:WBGene00000071","T01C2.1, acy-4","unk",2,13.52,4.67,7
"Gene:WBGene00000072","F39C12.2, add-1","unk",7.5,12,5,14.4
"Gene:WBGene00000073","F57F5.4, add-2","unk",241,222.5,26.25,51.92
"Gene:WBGene00000074","C04A11.4, adm-2","CSR",82.34,101.3,41.25,77.24
"Gene:WBGene00000075","ZK154.7, adm-4","WAGO",822,849,48,33
"Gene:WBGene00000079","H15N14.1, adr-1","CSR",781.75,794.25,564.25,720
"Gene:WBGene00000080","T20H4.4, adr-2","CSR",436,480,185,286
"Gene:WBGene00000081","Y50D7A.7, ads-1","WAGO",13152.3,13237.42,1528.27,1971.82
"Gene:WBGene00000082","C02B4.1, adt-1","unk",18.35,9.49,0.33,10.65
"Gene:WBGene00000083","F08C6.1, adt-2","unk",3.13,10.67,4.51,5.27
"Gene:WBGene00000084","D2030.10, aex-1","unk",5,14.5,23,23.03
"Gene:WBGene00000085","T14B1.2, aex-2","unk",0,1.5,2.5,0
"Gene:WBGene00000086","C02H7.3, aex-3","unk",11.67,14.94,6.74,8.06
"Gene:WBGene00000088","F32A7.6, aex-5","unk",64.55,59.92,22.84,28.42
"Gene:WBGene00000089","Y87G2A.4, aex-6","WAGO",9746.1,10588.01,10468.08,13786.06
"Gene:WBGene00000090","B0334.8, age-1","CSR",468.68,420.59,216.58,402.71
"Gene:WBGene00000092","F32A6.4, ags-3","unk",85.41,82.33,59.59,92.56
"Gene:WBGene00000093","Y62E10A.5, agt-1","CSR",205.5,174.5,163.5,163
"Gene:WBGene00000094","F09E5.13, agt-2","CSR",95,105,53,76
"Gene:WBGene00000095","C25A1.11, aha-1","unk",88.03,108.5,12.64,38.47
"Gene:WBGene00000096","C41G7.5, ahr-1","unk",80.5,62.85,24.71,41.27
"Gene:WBGene00000097","F58E10.4, aip-1","CSR",694,665,572,754
