gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
WBGene00000001	Y110A7A.10.1	1806.00	1661.85	2163.00	54.63	63.90
WBGene00000002	F27C8.1.1	1739.00	1594.85	151.00	3.97	4.65
WBGene00000003	F07C3.7.1	1738.00	1593.85	90.00	2.37	2.77
WBGene00000004	F52H2.2a.1,F52H2.2b.1	1750.00	1605.85	224.00	5.86	6.85
WBGene00000005	T13A10.10a.1,T13A10.10b	1795.75	1651.60	189.00	4.80	5.62
WBGene00000006	C55C2.5a.1,C55C2.5b,C55C2.5c,C55C2.5d	1831.84	1687.69	118.00	2.93	3.43
WBGene00000007	T11F9.4a.1,T11F9.4b.1	1679.13	1534.98	118.00	3.23	3.77
WBGene00000008	F54D12.3.1	1593.00	1448.85	37.00	1.07	1.25
WBGene00000009	F28F9.4.1	1562.00	1417.85	17.00	0.50	0.59
WBGene00000010	Y53H1C.1a.1,Y53H1C.1b.1	2074.46	1930.30	818.00	17.79	20.80
WBGene00000012	C50F2.9.1	314.00	170.53	8.00	1.97	2.30
WBGene00000013	C50F2.10.1	258.00	116.29	10.00	3.61	4.22
WBGene00000014	F54B8.5.1	270.00	127.71	0.00	0.00	0.00
WBGene00000015	Y38H6C.22.1	441.00	296.88	4.00	0.57	0.66
WBGene00000016	T22H6.5.1	479.00	334.86	52.00	6.52	7.62
WBGene00000017	T22H6.7.1	702.00	557.85	87.00	6.55	7.66
WBGene00000018	M79.1a.1,M79.1b.1,M79.1c.1,M79.1d.1,M79.1e.1	4079.34	3935.18	627.00	6.69	7.82
WBGene00000019	C24F3.5a.1,C24F3.5b.1	4473.63	4329.47	84.00	0.81	0.95
WBGene00000020	F12B6.1a.1,F12B6.1b.1	6672.00	6527.85	236.00	1.52	1.77
WBGene00000021	F55G11.9	4538.00	4393.85	8.00	0.08	0.09
WBGene00000022	Y39D8C.1.1	5543.00	5398.85	743.00	5.78	6.76
WBGene00000023	Y53C10A.9.1	4875.00	4730.85	58.00	0.51	0.60
WBGene00000024	AC3.3.1	1405.00	1260.85	18.78	0.63	0.73
WBGene00000025	F19G12.7.1	1719.00	1574.85	5.00	0.13	0.16
WBGene00000026	F31A3.1	981.00	836.85	1.00	0.05	0.06
WBGene00000027	Y5H2A.3.1	1060.00	915.85	0.00	0.00	0.00
WBGene00000028	Y105C5A.4.1	1008.00	863.85	0.00	0.00	0.00
WBGene00000029	C03A7.7.1	1167.00	1022.85	0.00	0.00	0.00
WBGene00000030	C03A7.8.1	1466.00	1321.85	0.00	0.00	0.00
WBGene00000031	C03A7.14.1	1523.00	1378.85	5.00	0.15	0.18
WBGene00000032	R09F10.2.1	1137.00	992.85	8.00	0.34	0.40
WBGene00000033	F35A5.3.1	1268.00	1123.85	9.00	0.34	0.39
WBGene00000034	T01D1.6.1	1295.00	1150.85	10.00	0.36	0.43
WBGene00000035	W09B12.1.1	2468.00	2323.85	168.00	3.03	3.55
WBGene00000036	Y44E3A.2.1,Y44E3A.2.2	2841.00	2696.85	200.00	3.11	3.64
WBGene00000037	Y48B6A.8.1	2200.00	2055.85	63.00	1.29	1.50
WBGene00000038	Y48B6A.7.1	2065.00	1920.85	7.00	0.15	0.18
WBGene00000039	C42D8.5.1	3082.00	2937.85	124.00	1.77	2.07
WBGene00000040	ZK455.1.1	2831.00	2686.85	7356.00	114.92	134.41
WBGene00000041	F54H12.1a.1,F54H12.1c.1,F54H12.1c.2,F54H12.1c.3	2601.32	2457.16	22296.00	380.88	445.47
WBGene00000042	K11G12.2.1	2037.00	1892.85	5.00	0.11	0.13
WBGene00000043	K11G12.7.1	1659.00	1514.85	7.00	0.19	0.23
WBGene00000044	K03F8.2.1	2059.00	1914.85	18.00	0.39	0.46
WBGene00000045	ZK973.5.1	1666.00	1521.85	2.00	0.06	0.06
WBGene00000046	T09A5.3.1	1723.00	1578.85	14.00	0.37	0.44
WBGene00000047	ZC504.2.1,ZC504.2.2	1810.00	1665.85	22.00	0.55	0.65
WBGene00000048	C40C9.2.1	1944.00	1799.85	17.00	0.40	0.46
WBGene00000049	R02E12.8.1	1743.00	1598.85	3.00	0.08	0.09
WBGene00000050	D2092.3.1	1473.00	1328.85	28.00	0.88	1.03
WBGene00000051	R01E6.4a.1,R01E6.4b.1	1926.58	1782.42	35.00	0.82	0.96
WBGene00000053	T05C12.2.1	1503.00	1358.85	15.00	0.46	0.54
WBGene00000054	F25G6.4.1	1501.00	1356.85	65.00	2.01	2.35
WBGene00000055	F25G6.3.1	1822.00	1677.85	49.00	1.23	1.43
WBGene00000056	F53E10.2a,F53E10.2b.1,F53E10.2c,F53E10.2d,F53E10.2e,F53E10.2f,F53E10.2g.1,F53E10.2h.1,F53E10.2i.1	1551.00	1406.85	22.00	0.66	0.77
WBGene00000057	F28F8.1.1	1615.00	1470.85	54.00	1.54	1.80
WBGene00000058	C31H5.3a.1,C31H5.3b.1	1886.00	1741.85	13.00	0.31	0.37
WBGene00000059	R06A4.10a.1,R06A4.10b.1,R06A4.10c.1	1814.00	1669.85	21.00	0.53	0.62
WBGene00000060	F27B3.2a.1,F27B3.2b.1,F27B3.2c.1,F27B3.2d.1	1981.00	1836.85	10.00	0.23	0.27
WBGene00000061	F48E3.7.1	1478.00	1333.85	2.00	0.06	0.07
WBGene00000062	F59B1.9a.1,F59B1.9b.1	1695.00	1550.85	2.00	0.05	0.06
WBGene00000063	T04C12.6.1	1264.00	1119.85	11919.41	446.78	522.54
WBGene00000064	T04C12.5.1	1281.00	1136.85	18491.03	682.74	798.51
WBGene00000065	T04C12.4.1,T04C12.4.2,T04C12.4.3	1492.30	1348.14	16122.91	502.00	587.12
WBGene00000066	M03F4.2a.1,M03F4.2b.1	1544.16	1400.00	7988.90	239.53	280.14
WBGene00000067	T25C8.2.1	1270.00	1125.85	5874.75	219.03	256.17
WBGene00000068	F17C8.1.1	4234.00	4089.85	175.00	1.80	2.10
WBGene00000069	C10F3.3.1	3313.00	3168.85	22.00	0.29	0.34
WBGene00000070	C44F1.5.1	4040.00	3895.85	195.00	2.10	2.46
WBGene00000071	T01C2.1.1	3265.00	3120.85	255.00	3.43	4.01
WBGene00000072	F39C12.2a.1,F39C12.2b.1,F39C12.2c.1,F39C12.2d.1,F39C12.2e.1	2505.39	2361.24	161.00	2.86	3.35
WBGene00000073	F57F5.4a.1,F57F5.4b.1	1726.36	1582.20	560.00	14.86	17.38
WBGene00000074	C04A11.4a.1,C04A11.4b.1	3255.00	3110.85	214.00	2.89	3.38
WBGene00000075	ZK154.7.1	2522.00	2377.85	523.00	9.23	10.80
WBGene00000079	H15N14.1c.1,H15N14.1d.1,H15N14.1e.1,H15N14.1f.1,H15N14.1g.1	2916.41	2772.26	3681.20	55.74	65.19
WBGene00000080	T20H4.4.1	1622.00	1477.85	2702.00	76.75	89.76
WBGene00000081	Y50D7A.7.1	1879.00	1734.85	2445.00	59.16	69.19
WBGene00000082	C02B4.1a.1,C02B4.1b.1	4697.00	4552.85	35.00	0.32	0.38
WBGene00000083	F08C6.1a.1,F08C6.1b.1,F08C6.1c.1	3172.81	3028.68	850.00	11.78	13.78
WBGene00000084	D2030.10a.1,D2030.10b.1	3224.74	3080.58	307.00	4.18	4.89
WBGene00000085	T14B1.2.1	1220.00	1075.85	18.00	0.70	0.82
WBGene00000086	C02H7.3a.1,C02H7.3b.1	4532.21	4388.06	112.00	1.07	1.25
WBGene00000088	F32A7.6.1	1798.00	1653.85	305.00	7.74	9.05
WBGene00000089	Y87G2A.4.1	972.00	827.85	72.00	3.65	4.27
WBGene00000090	B0334.8a.1,B0334.8b.1	2796.19	2653.38	3463.00	54.78	64.07
WBGene00000092	F32A6.4a.1,F32A6.4a.2,F32A6.4b,F32A6.4c,F32A6.4d.1,F32A6.4e.1,F32A6.4f.1,F32A6.4f.2,F32A6.4f.3,F32A6.4f.4,F32A6.4f.5,F32A6.4g.1	1715.02	1570.93	503.00	13.44	15.72
WBGene00000093	Y62E10A.5a.1,Y62E10A.5b.1	735.69	591.55	496.00	35.20	41.16
WBGene00000094	F09E5.13.1	1463.00	1318.85	578.00	18.40	21.52
WBGene00000095	C25A1.11.1	1603.00	1458.85	503.00	14.47	16.93
WBGene00000096	C41G7.5a.1,C41G7.5b.1	1771.00	1626.85	8.00	0.21	0.24
WBGene00000097	F58E10.4.1	1059.00	914.85	752.00	34.50	40.35
WBGene00000098	K07C11.2.1	1338.00	1193.85	5112.00	179.74	210.22
WBGene00000099	B0207.4.1,B0207.4.2	1126.56	982.40	2363.00	100.97	118.09
WBGene00000100	C25A11.4a.1,C25A11.4a.2,C25A11.4a.3,C25A11.4a.4,C25A11.4b.1,C25A11.4c.1,C25A11.4d.1,C25A11.4e.1,C25A11.4f.1,C25A11.4g.1,C25A11.4h.1,C25A11.4i.1,C25A11.4j.1,C25A11.4k.1,C25A11.4l.1,C25A11.4m.1	4808.47	4664.32	1082.00	9.74	11.39
WBGene00000101	D1022.7a.1,D1022.7b.1,D1022.7c.1	4264.31	4120.15	9235.00	94.09	110.04
WBGene00000102	C12D8.10a.1,C12D8.10b.1,C12D8.10c.1	2070.40	1926.25	6210.00	135.32	158.27
WBGene00000103	F28H6.1a.1,F28H6.1b.1	2012.53	1868.37	255.00	5.73	6.70
WBGene00000105	F48F7.1a.1,F48F7.1a.2,F48F7.1a.3,F48F7.1b.1	4030.65	3886.50	420.00	4.54	5.31
WBGene00000106	T07D3.7a.1,T07D3.7b.1	3258.47	3114.31	990.00	13.34	15.61
WBGene00000107	F54D8.3a.1,F54D8.3b.1,F54D8.3b.2	1688.69	1544.54	7112.00	193.28	226.06
WBGene00000108	K04F1.15.1	1641.00	1496.85	2.00	0.06	0.07
WBGene00000109	F36H1.6.1	2864.00	2719.85	3022.00	46.64	54.55
